AIRPORT,DATE,FLTS,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD
SBGR,2021-03,4043,99379.33333333333,88870.11,10509.223333333328,2.5993626844752233
SBGR,2021-04,4037,99136.71666666666,88740.14,10396.57666666666,2.5753224341507703
SBGR,2021-05,5944,149603.75,130932.02875,18671.721250000002,3.1412720810901753
SBGR,2021-06,6191,160728.1,136255.97541666668,24472.124583333323,3.9528548834329387
SBGR,2021-07,8008,210145.25,176012.38291666668,34132.867083333316,4.262346039377287
SBGR,2021-08,7849,204870.88333333333,172802.11875000002,32068.764583333308,4.085713413598332
SBGR,2021-09,8327,216866.8,183137.85291666668,33728.9470833333,4.050552069572872
SBGR,2021-10,8234,215427.3,181082.8566666667,34344.4433333333,4.171052141526998
SBGR,2021-11,9741,263960.51666666666,214251.36000000002,49709.15666666665,5.103085583273447
SBGR,2021-12,9847,265007.43333333335,216366.56791666668,48640.86541666667,4.939663391557496
SBGR,2022-01,6800,177268.93333333332,149280.20333333334,27988.72999999998,4.11598970588235
SBGR,2022-02,1917,49183.61666666667,42108.925833333335,7074.690833333334,3.690501217179621
SBGR,2022-04,3395,84402.68333333333,74412.42041666668,9990.26291666666,2.942640034364259
SBGR,2022-05,9031,230158.18333333332,198186.03125,31972.15208333332,3.5402670892850536
SBGR,2022-06,8016,208162.16666666666,175549.86791666667,32612.298749999987,4.068400542664669
SBGR,2022-07,10733,282235.68333333335,234755.67458333334,47480.00875000001,4.423740682940465
SBGR,2022-08,10503,279714.75,229884.57833333334,49830.17166666666,4.744375099178012
SBGR,2022-09,10081,270691.9666666667,220793.83041666666,49898.13625000001,4.94972088582482
SBGR,2022-10,10899,290440.26666666666,238870.24083333334,51570.02583333332,4.731629124996176
SBGR,2022-11,9000,240427.36666666667,197039.52583333335,43387.84083333332,4.820871203703702
SBGR,2022-12,10979,292241.65,240255.57708333334,51986.072916666686,4.735046262561863
SBSP,2021-03,2155,54954.71666666667,49731.98125,5222.73541666667,2.4235431167826773
SBSP,2021-04,2155,54690.71666666667,49245.799166666664,5444.917500000003,2.526643851508122
SBSP,2021-05,3290,87240.15,76941.12333333334,10299.026666666658,3.13040324214792
SBSP,2021-06,3499,93958.01666666666,80756.45916666667,13201.557499999995,3.7729515575878807
SBSP,2021-07,4616,126761.35,107158.70708333333,19602.64291666668,4.246673075534376
SBSP,2021-08,4760,129540.56666666667,109914.64291666666,19625.92375,4.123093224789916
SBSP,2021-09,5375,145776.05,123085.21958333334,22690.83041666665,4.221549844961237
SBSP,2021-10,5275,146641.91666666666,120205.52416666667,26436.392499999987,5.01163838862559
SBSP,2021-11,6172,170078.13333333333,141002.775,29075.358333333337,4.710848725426659
SBSP,2021-12,6568,182922.36666666667,150268.05166666667,32654.315000000002,4.9717288367844095
SBSP,2022-01,4563,125439.85,104858.4575,20581.3925,4.510495836072759
SBSP,2022-02,1305,35510.71666666667,30345.54375,5165.172916666666,3.957986909323116
SBSP,2022-04,2935,82178.15,67061.11416666667,15117.035833333328,5.150608461101645
SBSP,2022-05,8011,234129.41666666666,185448.80875,48680.60791666666,6.076720498897349
SBSP,2022-06,6432,180889.65,147700.41708333333,33189.23291666666,5.1600175554519065
SBSP,2022-07,7958,225749.16666666666,183959.08458333334,41790.08208333331,5.251329741559854
SBSP,2022-08,8040,242628.15,183884.835,58743.315,7.306382462686567
SBSP,2022-09,7667,230868.2,174930.65541666668,55937.544583333336,7.29588425503239
SBSP,2022-10,8354,246916.15,190738.965,56177.185,6.72458522863299
SBSP,2022-11,7401,228229.36666666667,166914.86166666666,61314.505000000005,8.284624375084448
SBSP,2022-12,8414,255758.03333333333,192122.44708333333,63635.58624999999,7.563059929878773
SBKP,2021-03,1927,47647.416666666664,42270.71875,5376.697916666664,2.790190927175228
SBKP,2021-04,1892,45447.51666666667,41806.511666666665,3641.0050000000047,1.9244212473572964
SBKP,2021-05,2556,62789.11666666667,56100.0675,6689.049166666671,2.6169988914971327
SBKP,2021-06,2517,64636.85,55433.12583333333,9203.724166666667,3.656624619255728
SBKP,2021-07,2741,71891.88333333333,60254.31833333333,11637.565000000002,4.24573695731485
SBKP,2021-08,3202,84648.85,70609.70666666667,14039.14333333334,4.384491984176559
SBKP,2021-09,3212,83496.78333333334,70617.48666666666,12879.296666666676,4.0097436695724396
SBKP,2021-10,3003,79597.38333333333,66107.64791666667,13489.735416666663,4.492086385836385
SBKP,2021-11,3370,90788.68333333333,74043.86875,16744.81458333334,4.968787710187935
SBKP,2021-12,3096,82702.85,68018.84083333334,14684.00916666667,4.742897017657193
