ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF20,REF05,REF15,REFPB,C100_SECT
EDDF,40NM,MT,07R,"(0,100]",138,21.573333333333334,19.140833333333333,20.814166666666665,19.9775,NA
EDDF,40NM,MT,07R,"(100,140]",306,19.933333333333334,18.27916666666667,19.595833333333335,18.9375,NA
EDDF,40NM,MT,07R,"(140,215]",43,18.176666666666666,16.471666666666668,17.463333333333335,16.9675,NA
EDDF,40NM,MT,07R,"(215,300]",59,13.743333333333332,12.266666666666667,13.563333333333333,12.915,NA
EDDF,40NM,MT,07R,"(300,360]",29,16.353333333333335,15.046666666666667,16.003333333333334,15.525,NA
EDDF,40NM,MT,25C,"(0,100]",5,11.746666666666666,11.686666666666667,11.726666666666667,11.706666666666667,NA
EDDF,40NM,MT,25C,"(100,140]",258,13.380000000000003,12.5475,13.233333333333333,12.890416666666667,NA
EDDF,40NM,MT,25C,"(140,215]",1,26.516666666666666,26.516666666666666,26.516666666666666,26.516666666666666,NA
EDDF,40NM,MT,25C,"(215,300]",54,23.673333333333332,20.475833333333334,23.214166666666667,21.845,NA
EDDF,40NM,MT,25C,"(300,360]",37,18.603333333333335,17.23,18.496666666666666,17.863333333333333,NA
EDDF,40NM,MT,25L,"(0,100]",161,11.833333333333334,11.416666666666666,11.683333333333334,11.55,NA
EDDF,40NM,MT,25L,"(100,140]",747,13.766666666666667,12.771666666666667,13.533333333333333,13.1525,NA
EDDF,40NM,MT,25L,"(140,215]",3,15.916666666666666,15.241666666666667,15.691666666666666,15.466666666666667,NA
EDDF,40NM,MT,25L,"(215,300]",91,19.566666666666666,17.708333333333336,19.075,18.391666666666666,NA
EDDF,40NM,MT,25L,"(300,360]",12,18.193333333333335,16.585,17.69083333333333,17.137916666666666,NA
EDDF,40NM,MT,25R,"(0,100]",260,12.213333333333333,11.681666666666667,12.028333333333332,11.855,NA
EDDF,40NM,MT,25R,"(100,140]",44,13.95,12.880833333333333,13.8025,13.341666666666667,NA
EDDF,40NM,MT,25R,"(215,300]",109,21.18,19.53,20.976666666666667,20.253333333333334,NA
EDDF,40NM,MT,25R,"(300,360]",1,21.333333333333332,21.333333333333332,21.333333333333332,21.333333333333332,NA
EDDF,40NM,MT,NA,"(0,100]",1,15.9,15.9,15.9,15.9,NA
EDDF,100NM,H,07C,NA,14,25.61,22.399166666666666,24.645,23.522083333333335,"(0,100]"
EDDF,100NM,H,07C,NA,18,24.95,22.064999999999998,23.759999999999998,22.912499999999998,"(100,140]"
EDDF,100NM,H,07C,NA,8,23.05,22.0475,22.46666666666667,22.257083333333334,"(140,215]"
EDDF,100NM,H,07C,NA,26,19.483333333333334,17.820833333333333,18.0875,17.954166666666666,"(215,300]"
EDDF,100NM,H,07C,NA,15,21.64333333333333,20.32333333333333,21.269999999999996,20.796666666666663,"(300,360]"
EDDF,100NM,H,07L,NA,2061,27.083333333333332,25.683333333333334,26.716666666666665,26.2,"(0,100]"
EDDF,100NM,H,07L,NA,250,26.696666666666665,25.315,26.3675,25.841250000000002,"(100,140]"
EDDF,100NM,H,07L,NA,103,24.64,22.975,24.138333333333332,23.556666666666665,"(140,215]"
EDDF,100NM,H,07L,NA,2825,20.033333333333335,18.986666666666668,19.733333333333334,19.36,"(215,300]"
EDDF,100NM,H,07L,NA,1390,21.7,20.4575,21.35,20.903750000000002,"(300,360]"
EDDF,100NM,H,07R,NA,2632,27.503333333333334,25.884999999999998,27.05,26.4675,"(0,100]"
EDDF,100NM,H,07R,NA,4092,26.85,25.183333333333334,26.4,25.791666666666664,"(100,140]"
EDDF,100NM,H,07R,NA,1094,24.37666666666667,22.366666666666667,23.75,23.058333333333334,"(140,215]"
EDDF,100NM,H,07R,NA,2254,20.533333333333335,19.216666666666665,20.183333333333334,19.7,"(215,300]"
EDDF,100NM,H,07R,NA,1116,22.45,20.808333333333334,21.966666666666665,21.3875,"(300,360]"
EDDF,100NM,H,25C,NA,1251,21.15,19.683333333333334,20.65,20.166666666666664,"(0,100]"
EDDF,100NM,H,25C,NA,1885,22.25,20.7,21.783333333333335,21.241666666666667,"(100,140]"
EDDF,100NM,H,25C,NA,666,24.233333333333334,22.379166666666666,23.725,23.052083333333336,"(140,215]"
EDDF,100NM,H,25C,NA,1276,25.283333333333335,23.541666666666668,24.87083333333333,24.206249999999997,"(215,300]"
EDDF,100NM,H,25C,NA,356,23.3,21.349999999999998,22.7875,22.06875,"(300,360]"
EDDF,100NM,H,25L,NA,4692,21.3,20.05,20.95,20.5,"(0,100]"
EDDF,100NM,H,25L,NA,6806,22.2,20.85,21.85,21.35,"(100,140]"
EDDF,100NM,H,25L,NA,1653,24.066666666666666,22.61,23.7,23.155,"(140,215]"
EDDF,100NM,H,25L,NA,4160,25.8,23.9825,25.364166666666666,24.673333333333332,"(215,300]"
EDDF,100NM,H,25L,NA,1420,24.333333333333332,22.433333333333334,23.8475,23.140416666666667,"(300,360]"
EDDF,100NM,H,25R,NA,4091,21.683333333333334,20.5,21.366666666666667,20.933333333333334,"(0,100]"
EDDF,100NM,H,25R,NA,557,23.283333333333335,21.676666666666666,22.833333333333332,22.255,"(100,140]"
EDDF,100NM,H,25R,NA,178,26.096666666666664,24.150833333333335,25.625833333333333,24.888333333333335,"(140,215]"
EDDF,100NM,H,25R,NA,5838,25.733333333333334,24.41416666666667,25.383333333333333,24.89875,"(215,300]"
EDDF,100NM,H,25R,NA,2249,23.616666666666667,22.333333333333332,23.3,22.816666666666666,"(300,360]"
EDDF,100NM,H,NA,NA,2,22.166666666666664,21.929166666666667,22.0875,22.008333333333333,"(0,100]"
EDDF,100NM,H,NA,NA,2,26.793333333333333,25.760833333333334,26.44916666666667,26.105000000000004,"(140,215]"
EDDF,100NM,H,NA,NA,1,24.616666666666667,24.616666666666667,24.616666666666667,24.616666666666667,"(215,300]"
EDDF,100NM,H,NA,NA,2,22.013333333333335,21.990833333333335,22.00583333333333,21.998333333333335,"(300,360]"
EDDF,100NM,LJ,07R,NA,45,28.96666666666667,27.55,28.43,27.990000000000002,"(0,100]"
EDDF,100NM,LJ,07R,NA,42,28.186666666666667,26.578333333333333,27.724166666666665,27.151249999999997,"(100,140]"
EDDF,100NM,LJ,07R,NA,64,26.933333333333334,24.90083333333333,26.633333333333333,25.767083333333332,"(140,215]"
EDDF,100NM,LJ,07R,NA,44,22.113333333333333,19.59,21.936666666666667,20.763333333333335,"(215,300]"
EDDF,100NM,LJ,07R,NA,11,24.816666666666666,23.016666666666666,24.066666666666666,23.541666666666664,"(300,360]"
EDDF,100NM,LJ,25C,NA,3,24.643333333333334,22.698333333333334,23.995,23.346666666666668,"(100,140]"
EDDF,100NM,LJ,25L,NA,94,22.98,21.36583333333333,22.860833333333336,22.113333333333333,"(0,100]"
EDDF,100NM,LJ,25L,NA,115,24.05,22.693333333333335,23.661666666666665,23.177500000000002,"(100,140]"
EDDF,100NM,LJ,25L,NA,130,26.003333333333334,24.489166666666666,25.512500000000003,25.000833333333333,"(140,215]"
EDDF,100NM,LJ,25L,NA,120,27.89666666666667,26.465833333333332,27.564166666666665,27.015,"(215,300]"
EDDF,100NM,LJ,25L,NA,35,26.083333333333332,22.846666666666664,25.009999999999998,23.92833333333333,"(300,360]"
EDDF,100NM,LJ,25R,NA,1,24.166666666666668,24.166666666666668,24.166666666666668,24.166666666666668,"(140,215]"
EDDF,100NM,LP,25L,NA,3,36.92333333333333,36.91833333333333,36.92166666666667,36.92,"(0,100]"
EDDF,100NM,LT,07C,NA,1,30.783333333333335,30.783333333333335,30.783333333333335,30.783333333333335,"(215,300]"
EDDF,100NM,LT,07L,NA,1,39.46666666666667,39.46666666666667,39.46666666666667,39.46666666666667,"(0,100]"
EDDF,100NM,LT,07R,NA,15,31.84,29.93333333333333,31.28,30.606666666666666,"(0,100]"
EDDF,100NM,LT,07R,NA,9,28.17,27.03,27.723333333333336,27.37666666666667,"(100,140]"
EDDF,100NM,LT,07R,NA,9,28.913333333333334,26.78333333333333,28.526666666666667,27.655,"(140,215]"
EDDF,100NM,LT,07R,NA,9,24.32,23.03,24.073333333333334,23.55166666666667,"(215,300]"
EDDF,100NM,LT,25C,NA,2,28.723333333333333,27.76833333333333,28.405,28.086666666666666,"(0,100]"
EDDF,100NM,LT,25C,NA,2,27.89,27.285,27.688333333333333,27.486666666666665,"(100,140]"
EDDF,100NM,LT,25L,NA,36,27.05,24.575,25.87916666666667,25.227083333333333,"(0,100]"
EDDF,100NM,LT,25L,NA,21,27.133333333333333,26.133333333333333,26.85,26.491666666666667,"(100,140]"
EDDF,100NM,LT,25L,NA,25,29.9,26.28,29.580000000000002,27.93,"(140,215]"
EDDF,100NM,LT,25L,NA,17,32.93666666666667,30.736666666666668,32.03333333333333,31.384999999999998,"(215,300]"
EDDF,100NM,LT,25L,NA,5,31.376666666666665,30.70666666666667,31.153333333333336,30.930000000000003,"(300,360]"
EDDF,100NM,LT,25R,NA,1,27.733333333333334,27.733333333333334,27.733333333333334,27.733333333333334,"(0,100]"
EDDF,100NM,MJ,07C,NA,25,22.150000000000002,20.613333333333333,21.96333333333333,21.288333333333334,"(0,100]"
EDDF,100NM,MJ,07C,NA,50,24.506666666666668,21.979166666666668,24.18,23.079583333333332,"(100,140]"
EDDF,100NM,MJ,07C,NA,59,21.71666666666667,19.218333333333337,20.785,20.00166666666667,"(140,215]"
EDDF,100NM,MJ,07C,NA,33,18.923333333333332,17.673333333333332,18.813333333333333,18.243333333333332,"(215,300]"
EDDF,100NM,MJ,07C,NA,12,22.423333333333332,21.023333333333333,21.950000000000003,21.486666666666668,"(300,360]"
EDDF,100NM,MJ,07L,NA,14808,26.733333333333334,24.966666666666665,26.284166666666664,25.625416666666666,"(0,100]"
EDDF,100NM,MJ,07L,NA,3782,26.5,24.75,26.05,25.4,"(100,140]"
EDDF,100NM,MJ,07L,NA,3403,24.766666666666666,22.48666666666667,24.15,23.318333333333335,"(140,215]"
EDDF,100NM,MJ,07L,NA,7745,19.816666666666666,18.45,19.466666666666665,18.958333333333332,"(215,300]"
EDDF,100NM,MJ,07L,NA,2932,22.083333333333332,20.433333333333334,21.683333333333334,21.058333333333334,"(300,360]"
EDDF,100NM,MJ,07R,NA,3780,27.73,25.95,27.216666666666665,26.583333333333332,"(0,100]"
EDDF,100NM,MJ,07R,NA,11808,27.183333333333334,25.316666666666666,26.716666666666665,26.016666666666666,"(100,140]"
EDDF,100NM,MJ,07R,NA,7404,25.516666666666666,22.983333333333334,24.874166666666667,23.92875,"(140,215]"
EDDF,100NM,MJ,07R,NA,3688,20.083333333333332,18.933333333333334,19.8,19.366666666666667,"(215,300]"
EDDF,100NM,MJ,07R,NA,1736,22.483333333333334,21.1625,22.070833333333333,21.616666666666667,"(300,360]"
EDDF,100NM,MJ,25C,NA,2199,20.266666666666666,18.95,19.933333333333334,19.441666666666666,"(0,100]"
EDDF,100NM,MJ,25C,NA,7931,21.85,20.25,21.483333333333334,20.866666666666667,"(100,140]"
EDDF,100NM,MJ,25C,NA,6985,23.633333333333333,21.916666666666668,23.2,22.558333333333334,"(140,215]"
EDDF,100NM,MJ,25C,NA,1360,24.33,22.59916666666667,23.783333333333335,23.191250000000004,"(215,300]"
EDDF,100NM,MJ,25C,NA,846,22.85,21.066666666666666,22.466666666666665,21.766666666666666,"(300,360]"
EDDF,100NM,MJ,25L,NA,6244,21.133333333333333,19.766666666666666,20.783333333333335,20.275,"(0,100]"
EDDF,100NM,MJ,25L,NA,21315,22.233333333333334,20.65,21.833333333333332,21.241666666666667,"(100,140]"
EDDF,100NM,MJ,25L,NA,15262,24,22.35,23.566666666666666,22.958333333333336,"(140,215]"
EDDF,100NM,MJ,25L,NA,7906,25.466666666666665,23.6875,25.033333333333335,24.360416666666666,"(215,300]"
EDDF,100NM,MJ,25L,NA,3112,23.753333333333334,22.066666666666666,23.283333333333335,22.675,"(300,360]"
EDDF,100NM,MJ,25R,NA,31813,21.25,19.9,20.9,20.4,"(0,100]"
EDDF,100NM,MJ,25R,NA,5010,22.396666666666665,20.933333333333334,22.066666666666666,21.5,"(100,140]"
EDDF,100NM,MJ,25R,NA,2629,24.183333333333334,22.666666666666668,23.75,23.208333333333336,"(140,215]"
EDDF,100NM,MJ,25R,NA,12592,25.65,23.966666666666665,25.233333333333334,24.6,"(215,300]"
EDDF,100NM,MJ,25R,NA,6971,23.85,22.125,23.416666666666668,22.770833333333336,"(300,360]"
EDDF,100NM,MJ,NA,NA,2,22.543333333333333,22.360833333333332,22.482499999999998,22.421666666666667,"(0,100]"
EDDF,100NM,MJ,NA,NA,4,25.673333333333332,25.08083333333333,25.475833333333334,25.278333333333332,"(100,140]"
EDDF,100NM,MJ,NA,NA,3,30.910000000000004,30.265,30.695,30.48,"(140,215]"
EDDF,100NM,MJ,NA,NA,3,20.693333333333335,19.923333333333336,20.436666666666667,20.18,"(215,300]"
EDDF,100NM,MJ,NA,NA,1,21.233333333333334,21.233333333333334,21.233333333333334,21.233333333333334,"(300,360]"
EDDF,100NM,MT,07C,NA,1,29.283333333333335,29.283333333333335,29.283333333333335,29.283333333333335,"(140,215]"
EDDF,100NM,MT,07C,NA,1,37.6,37.6,37.6,37.6,"(300,360]"
EDDF,100NM,MT,07L,NA,57,34.95666666666666,32.31,34.43333333333333,33.37166666666667,"(0,100]"
EDDF,100NM,MT,07L,NA,110,30.023333333333333,28.684166666666666,29.579166666666666,29.131666666666668,"(100,140]"
EDDF,100NM,MT,07L,NA,14,29.35,27.735,28.916666666666668,28.325833333333335,"(140,215]"
EDDF,100NM,MT,07L,NA,67,25.936666666666667,25.196666666666665,25.621666666666666,25.409166666666664,"(215,300]"
EDDF,100NM,MT,07R,NA,138,35.696666666666665,33.08333333333333,34.85083333333333,33.96708333333333,"(0,100]"
EDDF,100NM,MT,07R,NA,280,30.863333333333337,29.481666666666666,30.483333333333334,29.9825,"(100,140]"
EDDF,100NM,MT,07R,NA,69,29.490000000000002,28.64666666666667,29.206666666666667,28.92666666666667,"(140,215]"
EDDF,100NM,MT,07R,NA,58,26.54333333333333,25.2275,26.159166666666664,25.69333333333333,"(215,300]"
EDDF,100NM,MT,07R,NA,30,29.10333333333333,27.1025,28.2375,27.67,"(300,360]"
EDDF,100NM,MT,25C,NA,5,26.596666666666668,26.586666666666666,26.593333333333334,26.59,"(0,100]"
EDDF,100NM,MT,25C,NA,213,24.78666666666667,23.61,24.38,23.994999999999997,"(100,140]"
EDDF,100NM,MT,25C,NA,46,26.1,25.041666666666668,25.575,25.308333333333334,"(140,215]"
EDDF,100NM,MT,25C,NA,54,35.35333333333334,32.16916666666667,34.971666666666664,33.57041666666667,"(215,300]"
EDDF,100NM,MT,25C,NA,37,31.46333333333333,29.933333333333334,31.093333333333334,30.513333333333335,"(300,360]"
EDDF,100NM,MT,25L,NA,156,27.016666666666666,25.679166666666664,26.78333333333333,26.231249999999996,"(0,100]"
EDDF,100NM,MT,25L,NA,630,25.366666666666667,23.990833333333335,24.9,24.445416666666667,"(100,140]"
EDDF,100NM,MT,25L,NA,124,26.41,25.288333333333338,26.081666666666667,25.685000000000002,"(140,215]"
EDDF,100NM,MT,25L,NA,92,31.57,29.918333333333333,31.148333333333333,30.53333333333333,"(215,300]"
EDDF,100NM,MT,25L,NA,12,29.706666666666667,28.82,29.0325,28.92625,"(300,360]"
EDDF,100NM,MT,25R,NA,250,27.436666666666667,26.121666666666666,27.045,26.583333333333336,"(0,100]"
EDDF,100NM,MT,25R,NA,44,25.50333333333333,24.450833333333332,25.055,24.752916666666664,"(100,140]"
EDDF,100NM,MT,25R,NA,8,26.53,26.1725,26.226666666666667,26.199583333333333,"(140,215]"
EDDF,100NM,MT,25R,NA,111,33.86666666666667,31.5,33.53333333333333,32.516666666666666,"(215,300]"
EDDF,100NM,MT,25R,NA,1,34.21666666666667,34.21666666666667,34.21666666666667,34.21666666666667,"(300,360]"
EDDF,100NM,MT,NA,NA,1,31.783333333333335,31.783333333333335,31.783333333333335,31.783333333333335,"(0,100]"
EDDM,40NM,H,08L,"(0,75]",823,15.473333333333333,14.1,15.055,14.5775,NA
EDDM,40NM,H,08L,"(75,165]",310,16.4,15.454166666666666,16.166666666666668,15.810416666666667,NA
EDDM,40NM,H,08L,"(165,220]",25,12.030000000000001,10.776666666666667,11.816666666666666,11.296666666666667,NA
EDDM,40NM,H,08L,"(220,265]",10,11.366666666666667,10.754166666666666,11.254166666666666,11.004166666666666,NA
EDDM,40NM,H,08L,"(265,330]",2184,10.966666666666667,10.116666666666667,10.733333333333333,10.425,NA
