ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF20,REF05,REF15,REFPB,C100_SECT
EDDF,40NM,H,07C,"(0,100]",14,16.44,14.368333333333334,16.13,15.249166666666667,NA
EDDF,40NM,H,07C,"(100,140]",20,16.213333333333335,13.149999999999999,14.524999999999999,13.837499999999999,NA
EDDF,40NM,H,07C,"(140,215]",6,13.866666666666667,12.591666666666667,13.441666666666666,13.016666666666666,NA
EDDF,40NM,H,07C,"(215,300]",27,10.123333333333335,9.376666666666667,9.861666666666666,9.619166666666667,NA
EDDF,40NM,H,07C,"(300,360]",14,13.183333333333334,11.786666666666665,12.884166666666667,12.335416666666667,NA
EDDF,40NM,H,07L,"(0,100]",2061,17.616666666666667,16.516666666666666,17.316666666666666,16.916666666666664,NA
EDDF,40NM,H,07L,"(100,140]",287,17.52,16.42666666666667,17.233333333333334,16.830000000000002,NA
EDDF,40NM,H,07L,"(140,215]",66,15.3,14.141666666666666,15.15,14.645833333333332,NA
EDDF,40NM,H,07L,"(215,300]",2826,11.066666666666666,10.35,10.8625,10.60625,NA
EDDF,40NM,H,07L,"(300,360]",1389,13.033333333333333,12.09,12.766666666666667,12.428333333333335,NA
EDDF,40NM,H,07R,"(0,100]",2614,17.983333333333334,16.783333333333335,17.666666666666668,17.225,NA
EDDF,40NM,H,07R,"(100,140]",4451,17.65,16.283333333333335,17.3,16.791666666666668,NA
EDDF,40NM,H,07R,"(140,215]",753,14.916666666666666,13.5,14.543333333333335,14.021666666666668,NA
EDDF,40NM,H,07R,"(215,300]",2255,11.583333333333334,10.55,11.316666666666666,10.933333333333334,NA
EDDF,40NM,H,07R,"(300,360]",1115,13.75,12.35,13.433333333333334,12.891666666666666,NA
EDDF,40NM,H,25C,"(0,100]",1293,10.933333333333334,10.11,10.716666666666667,10.413333333333334,NA
EDDF,40NM,H,25C,"(100,140]",2432,12.683333333333334,11.525833333333335,12.35,11.937916666666666,NA
EDDF,40NM,H,25C,"(140,215]",83,13.703333333333333,12.576666666666666,13.223333333333333,12.899999999999999,NA
EDDF,40NM,H,25C,"(215,300]",1259,17.166666666666668,15.396666666666668,16.65,16.023333333333333,NA
EDDF,40NM,H,25C,"(300,360]",367,14.836666666666666,13.081666666666667,14.43,13.755833333333333,NA
EDDF,40NM,H,25L,"(0,100]",4767,10.966666666666667,10.25,10.766666666666667,10.508333333333333,NA
EDDF,40NM,H,25L,"(100,140]",7991,12.666666666666666,11.583333333333334,12.366666666666667,11.975000000000001,NA
EDDF,40NM,H,25L,"(140,215]",395,14.280000000000001,13.241666666666667,13.933333333333334,13.5875,NA
EDDF,40NM,H,25L,"(215,300]",4150,17.433333333333334,15.716666666666667,17.033333333333335,16.375,NA
EDDF,40NM,H,25L,"(300,360]",1428,15.856666666666667,14.133333333333333,15.416666666666666,14.774999999999999,NA
EDDF,40NM,H,25R,"(0,100]",4144,11.416666666666666,10.685833333333333,11.233333333333333,10.959583333333333,NA
EDDF,40NM,H,25R,"(100,140]",666,13.75,12.466666666666667,13.383333333333333,12.925,NA
EDDF,40NM,H,25R,"(140,215]",21,14.9,14.533333333333333,14.85,14.691666666666666,NA
EDDF,40NM,H,25R,"(215,300]",5820,17.4,16.2,17.1,16.65,NA
EDDF,40NM,H,25R,"(300,360]",2262,15.15,13.984166666666667,14.866666666666667,14.425416666666667,NA
EDDF,40NM,H,NA,"(0,100]",2,12.030000000000001,11.845,11.968333333333334,11.906666666666666,NA
EDDF,40NM,H,NA,"(100,140]",2,17.633333333333333,16.745833333333334,17.3375,17.041666666666664,NA
EDDF,40NM,H,NA,"(215,300]",1,16.833333333333332,16.833333333333332,16.833333333333332,16.833333333333332,NA
EDDF,40NM,H,NA,"(300,360]",2,13.256666666666668,13.226666666666667,13.246666666666668,13.236666666666668,NA
EDDF,40NM,LJ,07R,"(0,100]",45,19.046666666666667,17.419999999999998,18.876666666666665,18.148333333333333,NA
EDDF,40NM,LJ,07R,"(100,140]",64,19.020000000000003,16.79,18.555833333333332,17.672916666666666,NA
EDDF,40NM,LJ,07R,"(140,215]",42,15.733333333333333,14.245000000000001,15.605833333333333,14.925416666666667,NA
EDDF,40NM,LJ,07R,"(215,300]",44,11.406666666666666,10.224166666666667,11.055833333333334,10.64,NA
EDDF,40NM,LJ,07R,"(300,360]",11,15.3,13.716666666666667,14.841666666666667,14.279166666666667,NA
EDDF,40NM,LJ,25C,"(100,140]",3,13.606666666666666,11.651666666666667,12.955,12.303333333333335,NA
EDDF,40NM,LJ,25L,"(0,100]",97,11.566666666666666,10.4,11.376666666666665,10.888333333333332,NA
EDDF,40NM,LJ,25L,"(100,140]",211,13.783333333333333,12.333333333333332,13.458333333333332,12.895833333333332,NA
EDDF,40NM,LJ,25L,"(140,215]",31,15.783333333333333,15.266666666666666,15.566666666666666,15.416666666666666,NA
EDDF,40NM,LJ,25L,"(215,300]",120,18.23,16.647499999999997,17.754166666666666,17.200833333333332,NA
EDDF,40NM,LJ,25L,"(300,360]",35,15.926666666666668,13.641666666666667,15.29,14.465833333333332,NA
EDDF,40NM,LJ,25R,"(100,140]",1,14.05,14.05,14.05,14.05,NA
EDDF,40NM,LP,25L,"(0,100]",3,15.856666666666667,15.726666666666667,15.813333333333334,15.77,NA
EDDF,40NM,LT,07C,"(215,300]",1,13.9,13.9,13.9,13.9,NA
EDDF,40NM,LT,07L,"(0,100]",1,21.816666666666666,21.816666666666666,21.816666666666666,21.816666666666666,NA
EDDF,40NM,LT,07R,"(0,100]",13,19.516666666666666,16.65,18.55,17.6,NA
EDDF,40NM,LT,07R,"(100,140]",10,16.80333333333333,13.884166666666665,15.310833333333331,14.597499999999998,NA
EDDF,40NM,LT,07R,"(140,215]",8,15.793333333333333,13.072500000000002,15.5075,14.290000000000001,NA
EDDF,40NM,LT,07R,"(215,300]",9,12.926666666666666,12.386666666666667,12.62,12.503333333333334,NA
EDDF,40NM,LT,07R,"(300,360]",2,17.85333333333333,17.025833333333335,17.5775,17.30166666666667,NA
EDDF,40NM,LT,25C,"(0,100]",3,12.9,12.9,12.9,12.9,NA
EDDF,40NM,LT,25C,"(100,140]",1,12.95,12.95,12.95,12.95,NA
EDDF,40NM,LT,25L,"(0,100]",37,12.553333333333335,11.29,12.02,11.655,NA
EDDF,40NM,LT,25L,"(100,140]",36,13.933333333333334,12.929166666666667,13.45,13.189583333333333,NA
EDDF,40NM,LT,25L,"(140,215]",9,15.503333333333332,12.683333333333334,14.49,13.586666666666666,NA
EDDF,40NM,LT,25L,"(215,300]",17,19.740000000000002,19.299999999999997,19.543333333333333,19.421666666666667,NA
EDDF,40NM,LT,25L,"(300,360]",5,17.163333333333334,17.153333333333332,17.16,17.156666666666666,NA
EDDF,40NM,LT,25R,"(0,100]",1,14.15,14.15,14.15,14.15,NA
EDDF,40NM,MJ,07C,"(0,100]",25,13.83,12.866666666666667,13.216666666666665,13.041666666666666,NA
EDDF,40NM,MJ,07C,"(100,140]",67,16.116666666666667,13.661666666666667,14.836666666666666,14.249166666666667,NA
EDDF,40NM,MJ,07C,"(140,215]",42,12.043333333333335,10.686666666666667,11.339166666666666,11.012916666666666,NA
EDDF,40NM,MJ,07C,"(215,300]",33,10.286666666666667,9.49,10.243333333333332,9.866666666666667,NA
EDDF,40NM,MJ,07C,"(300,360]",12,13.423333333333332,12.211666666666666,12.966666666666665,12.589166666666666,NA
EDDF,40NM,MJ,07L,"(0,100]",14794,17.45,16.033333333333335,17.116666666666667,16.575000000000003,NA
EDDF,40NM,MJ,07L,"(100,140]",4932,17.533333333333335,16,17.116666666666667,16.558333333333334,NA
EDDF,40NM,MJ,07L,"(140,215]",2236,15.133333333333333,13.545833333333334,14.770833333333334,14.158333333333335,NA
EDDF,40NM,MJ,07L,"(215,300]",7755,10.533333333333333,9.75,10.316666666666666,10.033333333333333,NA
EDDF,40NM,MJ,07L,"(300,360]",2953,13.033333333333333,11.9,12.75,12.325,NA
EDDF,40NM,MJ,07R,"(0,100]",3763,18.116666666666667,16.716666666666665,17.75,17.233333333333334,NA
EDDF,40NM,MJ,07R,"(100,140]",14670,18.05,16.4,17.633333333333333,17.016666666666666,NA
EDDF,40NM,MJ,07R,"(140,215]",4534,15.65,13.75,15.1825,14.466249999999999,NA
EDDF,40NM,MJ,07R,"(215,300]",3697,10.75,10.016666666666667,10.566666666666666,10.291666666666668,NA
EDDF,40NM,MJ,07R,"(300,360]",1752,13.333333333333334,12.233333333333333,13.0275,12.630416666666665,NA
EDDF,40NM,MJ,25C,"(0,100]",2296,10.45,9.75,10.283333333333333,10.016666666666666,NA
EDDF,40NM,MJ,25C,"(100,140]",13088,12.55,11.355833333333333,12.216666666666667,11.786249999999999,NA
EDDF,40NM,MJ,25C,"(140,215]",1736,14,12.65,13.6375,13.14375,NA
EDDF,40NM,MJ,25C,"(215,300]",1353,15.933333333333334,14.643333333333334,15.6,15.121666666666666,NA
EDDF,40NM,MJ,25C,"(300,360]",848,14.233333333333333,12.8225,13.9,13.36125,NA
EDDF,40NM,MJ,25L,"(0,100]",6534,10.85,10.066666666666666,10.65,10.358333333333334,NA
EDDF,40NM,MJ,25L,"(100,140]",32993,12.766666666666667,11.533333333333333,12.433333333333334,11.983333333333334,NA
EDDF,40NM,MJ,25L,"(140,215]",3318,14.366666666666667,13.030833333333334,14.05,13.540416666666667,NA
EDDF,40NM,MJ,25L,"(215,300]",7882,16.633333333333333,15.3,16.266666666666666,15.783333333333333,NA
EDDF,40NM,MJ,25L,"(300,360]",3112,14.783333333333333,13.283333333333333,14.366666666666667,13.825,NA
EDDF,40NM,MJ,25R,"(0,100]",32735,11.066666666666666,10.366666666666667,10.883333333333333,10.625,NA
EDDF,40NM,MJ,25R,"(100,140]",6211,12.883333333333333,11.858333333333334,12.625,12.241666666666667,NA
EDDF,40NM,MJ,25R,"(140,215]",575,14.783333333333333,13.611666666666666,14.518333333333334,14.065000000000001,NA
EDDF,40NM,MJ,25R,"(215,300]",12576,16.983333333333334,15.7,16.683333333333334,16.191666666666666,NA
EDDF,40NM,MJ,25R,"(300,360]",6918,14.966666666666667,13.6,14.6,14.1,NA
EDDF,40NM,MJ,NA,"(0,100]",2,11.22,10.93,11.123333333333333,11.026666666666667,NA
EDDF,40NM,MJ,NA,"(100,140]",7,17.64333333333333,15.758333333333333,17.108333333333334,16.433333333333334,NA
EDDF,40NM,MJ,NA,"(215,300]",3,11.283333333333333,10.883333333333333,11.15,11.016666666666666,NA
EDDF,40NM,MJ,NA,"(300,360]",1,13.266666666666667,13.266666666666667,13.266666666666667,13.266666666666667,NA
EDDF,40NM,MT,07C,"(140,215]",1,17.933333333333334,17.933333333333334,17.933333333333334,17.933333333333334,NA
EDDF,40NM,MT,07C,"(300,360]",1,25.233333333333334,25.233333333333334,25.233333333333334,25.233333333333334,NA
EDDF,40NM,MT,07L,"(0,100]",57,20.523333333333333,19.143333333333334,20.263333333333335,19.703333333333333,NA
EDDF,40NM,MT,07L,"(100,140]",115,19.383333333333333,18.15,19.02,18.585,NA
EDDF,40NM,MT,07L,"(140,215]",9,16.823333333333334,15.263333333333335,16.463333333333335,15.863333333333335,NA
EDDF,40NM,MT,07L,"(215,300]",67,12.736666666666666,11.923333333333334,12.489999999999998,12.206666666666667,NA
