ADES,DATE,RWY,C100_SECT,N,N_VALID,A100,REF_20,ADD_TIME
SBKP,2021-03-13T00:00:00Z,15,NA,32,0,730.3666666666667,NA,NA
SBKP,2021-03-13T00:00:00Z,33,1,2,2,45.95,48,-2.0500000000000007
SBKP,2021-03-13T00:00:00Z,33,2,1,1,27.3,21.866666666666667,5.433333333333334
SBKP,2021-03-13T00:00:00Z,33,3,1,1,37.78333333333333,23.89333333333333,13.89
SBKP,2021-03-13T00:00:00Z,33,NA,2,0,41.86666666666667,NA,NA
SBKP,2021-03-14T00:00:00Z,15,1,10,10,255.51666666666668,260.06666666666666,-4.550000000000001
SBKP,2021-03-14T00:00:00Z,15,2,17,17,408.18333333333334,370.20333333333326,37.98000000000002
SBKP,2021-03-14T00:00:00Z,15,3,29,29,679.1000000000001,579.8899999999999,99.20999999999995
SBKP,2021-03-14T00:00:00Z,15,NA,23,0,511.96666666666664,NA,NA
SBKP,2021-03-14T00:00:00Z,33,1,3,3,61.03333333333333,72,-10.966666666666665
SBKP,2021-03-14T00:00:00Z,33,2,3,3,73.48333333333333,65.6,7.883333333333333
SBKP,2021-03-14T00:00:00Z,33,3,9,9,240.31666666666666,213.16999999999996,27.14666666666669
SBKP,2021-03-14T00:00:00Z,33,NA,10,0,217.31666666666666,NA,NA
SBKP,2021-03-15T00:00:00Z,15,1,14,14,360.34999999999997,362.53333333333336,-2.183333333333348
SBKP,2021-03-15T00:00:00Z,15,2,23,23,521.0833333333334,500.23999999999984,20.84333333333336
SBKP,2021-03-15T00:00:00Z,15,3,31,31,710.2666666666665,612.6266666666666,97.63999999999993
SBKP,2021-03-15T00:00:00Z,15,NA,35,0,837.5333333333334,NA,NA
SBKP,2021-03-15T00:00:00Z,33,1,5,5,106.48333333333335,120,-13.51666666666667
SBKP,2021-03-15T00:00:00Z,33,2,9,9,216.63333333333333,196.80000000000004,19.833333333333332
SBKP,2021-03-15T00:00:00Z,33,3,16,16,489.5833333333333,386.8499999999998,102.73333333333338
SBKP,2021-03-15T00:00:00Z,33,NA,5,0,131.11666666666667,NA,NA
SBKP,2021-03-16T00:00:00Z,15,1,10,10,246.96666666666664,259.76666666666665,-12.800000000000004
SBKP,2021-03-16T00:00:00Z,15,2,15,15,331.43333333333334,326.53666666666663,4.8966666666666825
SBKP,2021-03-16T00:00:00Z,15,3,25,25,572.1166666666667,492.43333333333317,79.6833333333333
SBKP,2021-03-16T00:00:00Z,15,NA,30,0,733.8166666666666,NA,NA
SBKP,2021-03-16T00:00:00Z,33,1,7,7,169.73333333333335,168,1.7333333333333343
SBKP,2021-03-16T00:00:00Z,33,2,9,9,218.06666666666666,196.80000000000004,21.266666666666666
SBKP,2021-03-16T00:00:00Z,33,3,15,15,508.11666666666673,362.95666666666654,145.16000000000005
SBKP,2021-03-16T00:00:00Z,33,NA,14,0,361.2166666666667,NA,NA
SBKP,2021-03-17T00:00:00Z,15,1,7,7,176.76666666666665,181.26666666666668,-4.500000000000007
SBKP,2021-03-17T00:00:00Z,15,2,15,15,345.1166666666667,325.5733333333333,19.543333333333347
SBKP,2021-03-17T00:00:00Z,15,3,23,23,531.9999999999999,454.4999999999999,77.49999999999996
SBKP,2021-03-17T00:00:00Z,15,NA,15,0,329.3,NA,NA
SBKP,2021-03-17T00:00:00Z,32,3,1,1,2.1166666666666667,0.23333333333333334,1.8833333333333333
SBKP,2021-03-17T00:00:00Z,33,1,8,8,181.31666666666666,192,-10.683333333333334
SBKP,2021-03-17T00:00:00Z,33,2,15,15,362.29999999999995,331.97666666666674,30.323333333333323
SBKP,2021-03-17T00:00:00Z,33,3,21,21,647.1333333333332,496.14999999999975,150.98333333333332
SBKP,2021-03-17T00:00:00Z,33,NA,20,0,474.5333333333333,NA,NA
SBKP,2021-03-18T00:00:00Z,15,1,5,5,133.1,130.83333333333334,2.266666666666662
SBKP,2021-03-18T00:00:00Z,15,2,10,10,226.99999999999997,218.33333333333337,8.666666666666682
SBKP,2021-03-18T00:00:00Z,15,3,23,23,571.5333333333333,454.4999999999999,117.03333333333327
SBKP,2021-03-18T00:00:00Z,15,NA,15,0,333.9833333333333,NA,NA
SBKP,2021-03-18T00:00:00Z,33,1,11,11,237.45,262.56,-25.109999999999996
SBKP,2021-03-18T00:00:00Z,33,2,19,19,473.9500000000001,415.56333333333345,58.38666666666667
SBKP,2021-03-18T00:00:00Z,33,3,23,23,666.55,546.6233333333331,119.9266666666667
SBKP,2021-03-18T00:00:00Z,33,NA,22,0,537.5333333333334,NA,NA
SBKP,2021-03-19T00:00:00Z,15,1,16,16,398.8333333333333,418.66666666666674,-19.83333333333335
SBKP,2021-03-19T00:00:00Z,15,2,30,30,714.25,657.2966666666667,56.953333333333354
SBKP,2021-03-19T00:00:00Z,15,3,45,45,1087.7666666666667,889.1199999999999,198.64666666666656
SBKP,2021-03-19T00:00:00Z,15,NA,38,0,911.8833333333332,NA,NA
SBKP,2021-03-20T00:00:00Z,15,1,7,7,187.93333333333334,183.16666666666666,4.766666666666659
SBKP,2021-03-20T00:00:00Z,15,2,18,18,415.16666666666663,392.03666666666663,23.130000000000017
SBKP,2021-03-20T00:00:00Z,15,3,25,25,627.5833333333334,499.45666666666654,128.1266666666666
SBKP,2021-03-20T00:00:00Z,15,NA,31,0,746.7166666666667,NA,NA
SBKP,2021-03-20T00:00:00Z,33,1,4,4,80.28333333333335,96,-15.716666666666665
SBKP,2021-03-20T00:00:00Z,33,2,4,4,103.76666666666667,87.46666666666667,16.299999999999997
SBKP,2021-03-20T00:00:00Z,33,3,11,11,344.3833333333333,262.8266666666666,81.5566666666667
SBKP,2021-03-20T00:00:00Z,33,NA,7,0,171.03333333333333,NA,NA
SBKP,2021-03-21T00:00:00Z,15,1,7,7,164.21666666666667,179.36666666666667,-15.150000000000006
SBKP,2021-03-21T00:00:00Z,15,2,22,22,838.5333333333332,480.3333333333332,358.2000000000002
SBKP,2021-03-21T00:00:00Z,15,3,29,29,703.9833333333332,579.89,124.09333333333328
SBKP,2021-03-21T00:00:00Z,15,NA,28,0,633.4166666666666,NA,NA
SBKP,2021-03-21T00:00:00Z,33,1,3,3,60.55,72,-11.450000000000003
SBKP,2021-03-21T00:00:00Z,33,2,7,7,276.18333333333334,153.0666666666667,123.11666666666666
