APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBKP,TXIT,2019-12-01,119,352.14,2.959159663865546
SBRJ,TXIT,2019-12-01,122,127.34999999999997,1.0438524590163931
SBGR,TXIT,2019-12-01,339,966.0899999999999,2.8498230088495573
SBBR,TXIT,2019-12-01,148,329.67,2.2275
SBSP,TXIT,2019-12-01,201,185.73999999999995,0.9240796019900495
SBCF,TXIT,2019-12-01,123,205.51999999999992,1.6708943089430888
SBCT,TXIT,2019-12-01,69,123.40999999999998,1.7885507246376808
SBGL,TXIT,2019-12-01,98,335.6199999999999,3.4246938775510194
SBPA,TXIT,2019-12-01,79,80.41,1.0178481012658227
SBSV,TXIT,2019-12-01,74,115.71999999999996,1.5637837837837831
SBKP,TXIT,2019-12-02,149,261.6999999999998,1.7563758389261732
SBGL,TXIT,2019-12-02,133,453.5399999999999,3.410075187969924
SBGR,TXIT,2019-12-02,399,1207.040000000001,3.0251629072681734
SBSP,TXIT,2019-12-02,261,328.35000000000014,1.2580459770114947
SBPA,TXIT,2019-12-02,105,117.34999999999997,1.1176190476190473
SBRJ,TXIT,2019-12-02,166,245.34999999999997,1.478012048192771
SBBR,TXIT,2019-12-02,177,280.00999999999993,1.5819774011299432
SBCF,TXIT,2019-12-02,141,216.7400000000001,1.5371631205673766
SBCT,TXIT,2019-12-02,101,89.61,0.8872277227722772
SBSV,TXIT,2019-12-02,88,144.41,1.6410227272727271
SBCF,TXIT,2019-12-03,145,279.4099999999999,1.9269655172413787
SBGR,TXIT,2019-12-03,390,1250.099999999999,3.2053846153846126
SBBR,TXIT,2019-12-03,181,335.03999999999996,1.851049723756906
SBSV,TXIT,2019-12-03,86,116.88,1.3590697674418604
SBKP,TXIT,2019-12-03,152,333.19999999999993,2.1921052631578943
SBGL,TXIT,2019-12-03,124,319.66000000000014,2.5779032258064527
SBCT,TXIT,2019-12-03,103,126.05,1.2237864077669902
SBRJ,TXIT,2019-12-03,156,274.1200000000001,1.757179487179488
SBSP,TXIT,2019-12-03,267,343.9199999999999,1.2880898876404492
SBPA,TXIT,2019-12-03,104,211.97000000000003,2.0381730769230773
SBGR,TXIT,2019-12-04,408,1500.6099999999992,3.677965686274508
SBGL,TXIT,2019-12-04,124,394.3300000000001,3.1800806451612913
SBCF,TXIT,2019-12-04,145,160.15,1.1044827586206898
SBKP,TXIT,2019-12-04,152,375.4000000000001,2.469736842105264
SBSP,TXIT,2019-12-04,276,511.27000000000004,1.8524275362318843
SBRJ,TXIT,2019-12-04,156,264.25999999999993,1.6939743589743586
SBCT,TXIT,2019-12-04,96,111.24000000000002,1.1587500000000002
SBSV,TXIT,2019-12-04,84,157.47000000000003,1.8746428571428575
SBPA,TXIT,2019-12-04,100,181.23999999999995,1.8123999999999996
SBBR,TXIT,2019-12-04,171,301.85,1.7652046783625732
SBSP,TXIT,2019-12-05,252,437.06999999999977,1.734404761904761
SBGR,TXIT,2019-12-05,389,1410.4999999999984,3.625964010282772
SBKP,TXIT,2019-12-05,157,447.56000000000006,2.8507006369426757
SBBR,TXIT,2019-12-05,170,363.8899999999999,2.1405294117647053
SBCF,TXIT,2019-12-05,140,207.46000000000015,1.4818571428571439
