APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBGL,TXOT,2019-07-05,119,616.9799999999999,5.18470588235294
SBSV,TXOT,2019-07-05,81,407.54,5.031358024691358
SBCT,TXOT,2019-07-06,66,226.71,3.435
SBRJ,TXOT,2019-07-06,90,316.50999999999993,3.516777777777777
SBSP,TXOT,2019-07-06,192,501.86999999999983,2.613906249999999
SBPA,TXOT,2019-07-06,73,344.20999999999987,4.715205479452053
SBKP,TXOT,2019-07-06,133,822.4299999999997,6.183684210526314
SBGL,TXOT,2019-07-06,124,676.6900000000002,5.45717741935484
SBBR,TXOT,2019-07-06,131,404.41,3.0870992366412215
SBGR,TXOT,2019-07-06,353,1916.9799999999989,5.430538243626059
SBSV,TXOT,2019-07-06,73,257.84,3.5320547945205476
SBCF,TXOT,2019-07-06,121,576.0600000000002,4.760826446280993
SBSP,TXOT,2019-07-07,188,505.7199999999999,2.6899999999999995
SBGR,TXOT,2019-07-07,321,1503.5600000000002,4.68398753894081
SBGL,TXOT,2019-07-07,111,292.69999999999993,2.6369369369369364
SBBR,TXOT,2019-07-07,125,368.91999999999996,2.9513599999999998
SBKP,TXOT,2019-07-07,133,787.5100000000001,5.921127819548873
SBCF,TXOT,2019-07-07,129,670.1999999999998,5.195348837209301
SBPA,TXOT,2019-07-07,80,320.85,4.010625
SBSV,TXOT,2019-07-07,67,266.23,3.973582089552239
SBRJ,TXOT,2019-07-07,94,325.72999999999996,3.4652127659574465
SBCT,TXOT,2019-07-07,73,351.33,4.812739726027397
SBSP,TXOT,2019-07-08,245,710.4600000000003,2.8998367346938787
SBGR,TXOT,2019-07-08,375,1826.6000000000004,4.870933333333334
SBGL,TXOT,2019-07-08,120,529.6400000000001,4.413666666666668
SBCF,TXOT,2019-07-08,143,797.0000000000002,5.573426573426575
SBBR,TXOT,2019-07-08,173,449.9200000000002,2.600693641618498
SBPA,TXOT,2019-07-08,93,374.21999999999997,4.023870967741935
SBCT,TXOT,2019-07-08,87,269.41999999999996,3.0967816091954017
SBRJ,TXOT,2019-07-08,124,559.3500000000001,4.510887096774194
SBSV,TXOT,2019-07-08,88,417.40000000000003,4.743181818181818
SBKP,TXOT,2019-07-08,164,1102.7199999999996,6.723902439024387
SBGR,TXOT,2019-07-09,366,1476.8700000000003,4.0351639344262304
SBSP,TXOT,2019-07-09,223,542.1499999999999,2.4311659192825106
SBBR,TXOT,2019-07-09,184,631.5,3.432065217391304
SBGL,TXOT,2019-07-09,113,464.81,4.1133628318584075
SBPA,TXOT,2019-07-09,91,711.58,7.81956043956044
SBRJ,TXOT,2019-07-09,117,376.12999999999994,3.214786324786324
SBCF,TXOT,2019-07-09,149,618.1799999999997,4.148859060402683
SBSV,TXOT,2019-07-09,82,327.09,3.98890243902439
SBCT,TXOT,2019-07-09,82,628.13,7.660121951219512
SBKP,TXOT,2019-07-09,163,1042.12,6.393374233128834
SBSP,TXOT,2019-07-10,247,986.6100000000004,3.994372469635629
SBGL,TXOT,2019-07-10,116,412.43999999999994,3.55551724137931
SBRJ,TXOT,2019-07-10,125,407.8600000000003,3.2628800000000022
SBBR,TXOT,2019-07-10,185,751.0699999999995,4.0598378378378355
SBPA,TXOT,2019-07-10,94,438.65,4.666489361702127
SBGR,TXOT,2019-07-10,358,2207.98,6.167541899441341
SBCF,TXOT,2019-07-10,145,673.2700000000001,4.6432413793103455
SBSV,TXOT,2019-07-10,81,351.7999999999999,4.343209876543209
SBKP,TXOT,2019-07-10,162,930.6400000000004,5.744691358024694
SBCT,TXOT,2019-07-10,85,355.6699999999999,4.18435294117647
SBPA,TXOT,2019-07-11,96,264.25,2.7526041666666665
SBBR,TXOT,2019-07-11,183,650.7999999999998,3.5562841530054636
SBGL,TXOT,2019-07-11,118,492.8599999999997,4.176779661016947
SBGR,TXOT,2019-07-11,373,1605.0500000000004,4.303083109919572
SBSP,TXOT,2019-07-11,239,871.3900000000001,3.645983263598327
SBRJ,TXOT,2019-07-11,121,413.27,3.4154545454545455
SBCF,TXOT,2019-07-11,150,774.8099999999998,5.165399999999999
SBSV,TXOT,2019-07-11,80,318.7399999999999,3.9842499999999985
SBKP,TXOT,2019-07-11,163,991.0000000000001,6.079754601226995
SBCT,TXOT,2019-07-11,88,363.7699999999999,4.133749999999999
SBRJ,TXOT,2019-07-12,128,385.6799999999998,3.0131249999999983
SBGL,TXOT,2019-07-12,121,572.5400000000001,4.731735537190083
SBGR,TXOT,2019-07-12,374,1634.259999999999,4.3696791443850245
SBCF,TXOT,2019-07-12,152,745.2700000000007,4.903092105263163
SBBR,TXOT,2019-07-12,173,478.9999999999999,2.7687861271676293
SBSV,TXOT,2019-07-12,84,421.15,5.013690476190476
SBSP,TXOT,2019-07-12,246,1159.2900000000004,4.712560975609758
SBCT,TXOT,2019-07-12,92,413.41999999999996,4.493695652173913
SBKP,TXOT,2019-07-12,163,1079.3799999999999,6.621963190184048
SBPA,TXOT,2019-07-12,101,484.29,4.794950495049505
SBGR,TXOT,2019-07-13,353,1517.4400000000007,4.298696883852693
SBSV,TXOT,2019-07-13,78,403.0300000000001,5.1670512820512835
SBCF,TXOT,2019-07-13,129,512.0899999999999,3.9696899224806197
SBBR,TXOT,2019-07-13,131,315.42999999999995,2.407862595419847
SBSP,TXOT,2019-07-13,188,424.76000000000005,2.2593617021276597
SBGL,TXOT,2019-07-13,126,628.9,4.991269841269841
SBRJ,TXOT,2019-07-13,91,252.32000000000002,2.772747252747253
SBPA,TXOT,2019-07-13,79,244.10999999999996,3.0899999999999994
SBKP,TXOT,2019-07-13,133,684.6300000000001,5.147593984962407
SBCT,TXOT,2019-07-13,72,202.29000000000005,2.809583333333334
SBKP,TXOT,2019-07-14,130,599.76,4.613538461538462
SBGR,TXOT,2019-07-14,329,1329.6200000000003,4.0413981762917945
SBGL,TXOT,2019-07-14,117,454.27000000000004,3.882649572649573
SBSP,TXOT,2019-07-14,189,838.3999999999996,4.435978835978834
SBBR,TXOT,2019-07-14,121,289.9800000000001,2.3965289256198354
SBSV,TXOT,2019-07-14,76,320.81,4.2211842105263155
SBCF,TXOT,2019-07-14,136,643.9199999999994,4.734705882352936
SBRJ,TXOT,2019-07-14,93,317.26000000000016,3.411397849462367
SBPA,TXOT,2019-07-14,84,308.72,3.6752380952380954
SBCT,TXOT,2019-07-14,73,328.5199999999999,4.500273972602739
SBSP,TXOT,2019-07-15,242,595.3999999999999,2.460330578512396
SBRJ,TXOT,2019-07-15,121,435.6400000000001,3.6003305785123976
SBCF,TXOT,2019-07-15,151,728.2500000000001,4.822847682119206
SBGR,TXOT,2019-07-15,362,1570.0100000000002,4.337044198895028
SBGL,TXOT,2019-07-15,124,500.0399999999999,4.03258064516129
SBPA,TXOT,2019-07-15,97,309.59000000000003,3.1916494845360828
SBSV,TXOT,2019-07-15,85,285.27000000000004,3.356117647058824
SBBR,TXOT,2019-07-15,186,555.58,2.9869892473118282
SBKP,TXOT,2019-07-15,162,875.1899999999996,5.402407407407405
SBCT,TXOT,2019-07-15,85,346.9399999999998,4.081647058823528
SBGL,TXOT,2019-07-16,116,539.0600000000001,4.647068965517242
SBRJ,TXOT,2019-07-16,122,319.12999999999994,2.615819672131147
SBGR,TXOT,2019-07-16,374,1694.1599999999985,4.529839572192509
