ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBCF,H,16,1,126,126,20.283333333333335
SBCF,H,16,2,1,1,24.233333333333334
SBCF,H,16,4,4,4,21.14666666666667
SBCF,H,34,1,32,32,21.61
SBCF,H,34,4,2,2,25.133333333333333
SBCF,L,16,1,45,45,25.05666666666667
SBCF,L,16,2,4,4,31.113333333333337
SBCF,L,16,3,5,5,28.67
SBCF,L,16,4,98,98,29.180000000000003
SBCF,L,34,1,9,9,25
SBCF,L,34,3,2,2,31.03666666666667
SBCF,L,34,4,2,2,31.86
SBCF,M,12,1,3,3,32.129999999999995
SBCF,M,15,3,1,1,6.05
SBCF,M,16,1,10270,10270,19.816666666666666
SBCF,M,16,2,967,967,22.833333333333332
SBCF,M,16,3,1955,1955,23.816666666666666
SBCF,M,16,4,7994,7994,21.1
SBCF,M,34,1,2016,2016,22.283333333333335
SBCF,M,34,2,198,198,20.383333333333333
SBCF,M,34,3,414,414,19.843333333333334
SBCF,M,34,4,1368,1368,22.2
