ADES,CLASS,RWY,C100_SECT,N,N_VALID,REF_20
SBSV,H,10,1,52,52,21.383333333333336
SBSV,H,10,2,89,89,24.093333333333334
SBSV,H,10,3,6,6,24.616666666666667
SBSV,H,10,4,177,177,20.803333333333335
SBSV,H,17,4,2,2,26.95666666666667
SBSV,H,28,1,1,1,22.683333333333334
SBSV,H,28,2,2,2,22.03
SBSV,H,28,4,4,4,25.23
SBSV,L,10,1,65,65,25.939999999999998
SBSV,L,10,2,206,206,33.983333333333334
SBSV,L,10,3,7,7,41.913333333333334
SBSV,L,10,4,449,449,24.043333333333337
SBSV,L,17,1,254,254,27.03666666666667
SBSV,L,17,2,281,281,27.85
SBSV,L,17,4,1582,1582,25.916666666666668
SBSV,L,28,1,2,2,36.93
SBSV,L,28,2,6,6,31.933333333333334
SBSV,L,28,3,1,1,106.65
SBSV,L,28,4,29,29,27.933333333333337
SBSV,L,35,1,1,1,29.116666666666667
SBSV,L,35,4,77,77,25.27
SBSV,M,10,1,950,950,22.316666666666666
SBSV,M,10,2,2052,2052,23.733333333333334
SBSV,M,10,3,6,6,39.916666666666664
SBSV,M,10,4,13082,13082,20.65
SBSV,M,10P,4,1,1,29.25
SBSV,M,11,4,4,4,5.626666666666667
SBSV,M,12,2,4,4,9.043333333333333
SBSV,M,15,4,7,7,27.196666666666665
SBSV,M,17,1,37,37,21.06
SBSV,M,17,2,48,48,21.726666666666667
SBSV,M,17,4,571,571,20.483333333333334
SBSV,M,28,1,29,29,24.64333333333333
SBSV,M,28,2,63,63,21.203333333333333
SBSV,M,28,4,386,386,24.833333333333332
SBSV,M,35,4,5,5,24.366666666666667
