ICAO,YEAR,MOF,AC_CLASS,AP_C_RWY,C100_SECT,N,N_VALID,TOT_A100,TOT_REF,TOT_ADD
EDDF,2019,1,H,25L,"(140,215]",113,113,3120.566666666667,2719.533333333328,401.0333333333338
EDDF,2019,1,H,25L,"(215,300]",312,312,8961.199999999993,8049.60000000004,911.5999999999992
EDDF,2019,1,H,25L,"(300,360]",158,158,4362.066666666667,3844.666666666675,517.4000000000002
EDDF,2019,1,H,25L,NA,14,0,0,0,0
EDDF,2019,1,H,25R,"(0,100]",412,412,9979.933333333329,8933.533333333326,1046.3999999999987
EDDF,2019,1,H,25R,"(100,140]",45,45,1278.3833333333334,1047.7499999999995,230.6333333333333
EDDF,2019,1,H,25R,"(140,215]",7,7,230.11666666666667,182.67666666666665,47.44000000000002
EDDF,2019,1,H,25R,"(215,300]",429,429,12180.649999999996,11039.60000000005,1141.0499999999988
EDDF,2019,1,H,25R,"(300,360]",208,208,5481.699999999998,4912.266666666676,569.4333333333334
EDDF,2019,1,H,25R,NA,1,0,0,0,0
EDDF,2019,1,LJ,07R,"(0,100]",2,2,65.96666666666667,57.93333333333334,8.033333333333328
EDDF,2019,1,LJ,07R,"(100,140]",1,1,35.35,28.186666666666667,7.163333333333334
EDDF,2019,1,LJ,07R,"(140,215]",8,8,245.6,215.4666666666667,30.133333333333297
EDDF,2019,1,LJ,07R,"(215,300]",1,1,26.533333333333335,22.113333333333333,4.420000000000002
EDDF,2019,1,LJ,07R,NA,2,0,0,0,0
EDDF,2019,1,LJ,25L,"(0,100]",9,9,235.73333333333332,206.54999999999995,29.183333333333337
EDDF,2019,1,LJ,25L,"(100,140]",12,12,339.99999999999994,288.6000000000001,51.39999999999999
EDDF,2019,1,LJ,25L,"(140,215]",11,11,316.3833333333334,286.0366666666667,30.346666666666625
EDDF,2019,1,LJ,25L,"(215,300]",7,7,231.86666666666667,195.2766666666667,36.58999999999999
EDDF,2019,1,LJ,25L,"(300,360]",3,3,90.48333333333332,78.25,12.233333333333334
EDDF,2019,1,LJ,25L,NA,11,0,0,0,0
EDDF,2019,1,LT,07R,"(0,100]",2,2,70.58333333333334,63.68,6.903333333333336
EDDF,2019,1,LT,07R,"(100,140]",1,1,33.46666666666667,28.17,5.296666666666667
EDDF,2019,1,LT,07R,"(140,215]",1,1,40.5,28.913333333333338,11.586666666666662
EDDF,2019,1,LT,07R,NA,1,0,0,0,0
EDDF,2019,1,LT,25C,"(100,140]",1,1,27.083333333333332,27.89,-0.8066666666666684
EDDF,2019,1,LT,25C,NA,3,0,0,0,0
EDDF,2019,1,LT,25L,"(0,100]",2,2,50.233333333333334,54.1,-3.866666666666667
EDDF,2019,1,LT,25L,"(100,140]",2,2,58.849999999999994,54.266666666666666,4.583333333333332
EDDF,2019,1,LT,25L,"(140,215]",4,4,150.11666666666667,119.6,30.516666666666673
EDDF,2019,1,LT,25L,"(300,360]",1,1,38.483333333333334,31.376666666666665,7.106666666666669
EDDF,2019,1,LT,25L,NA,5,0,0,0,0
EDDF,2019,1,LT,25R,"(0,100]",1,1,27.733333333333334,27.733333333333334,0
EDDF,2019,1,MJ,07C,"(0,100]",2,2,82.4,44.3,38.10000000000001
EDDF,2019,1,MJ,07C,"(100,140]",2,2,63.21666666666667,49.013333333333335,14.203333333333331
EDDF,2019,1,MJ,07C,"(140,215]",2,2,62.71666666666667,43.43333333333334,19.28333333333333
EDDF,2019,1,MJ,07C,"(215,300]",3,3,71.71666666666667,56.77,14.946666666666667
EDDF,2019,1,MJ,07C,NA,1,0,0,0,0
EDDF,2019,1,MJ,07L,"(0,100]",826,826,23939.800000000007,22081.73333333348,1858.066666666664
EDDF,2019,1,MJ,07L,"(100,140]",218,218,6220,5777,443.00000000000017
EDDF,2019,1,MJ,07L,"(140,215]",166,166,4730.949999999995,4111.266666666683,619.6833333333338
EDDF,2019,1,MJ,07L,"(215,300]",354,354,8270.75,7015.09999999998,1255.650000000002
EDDF,2019,1,MJ,07L,"(300,360]",147,147,3642.65,3246.2500000000055,396.4000000000003
EDDF,2019,1,MJ,07L,NA,35,0,0,0,0
EDDF,2019,1,MJ,07R,"(0,100]",219,219,6613.600000000001,6072.869999999971,540.7299999999996
EDDF,2019,1,MJ,07R,"(100,140]",576,576,16977.549999999996,15657.599999999784,1319.9499999999978
EDDF,2019,1,MJ,07R,"(140,215]",396,396,11626.233333333344,10104.59999999996,1521.6333333333314
EDDF,2019,1,MJ,07R,"(215,300]",217,217,5059.6,4358.083333333341,701.5166666666668
EDDF,2019,1,MJ,07R,"(300,360]",82,82,2079.0833333333335,1843.6333333333343,235.45
EDDF,2019,1,MJ,07R,NA,47,0,0,0,0
EDDF,2019,1,MJ,25C,"(0,100]",188,188,4220.85,3810.1333333333505,410.71666666666704
EDDF,2019,1,MJ,25C,"(100,140]",566,566,14017.749999999998,12367.100000000126,1650.6499999999987
EDDF,2019,1,MJ,25C,"(140,215]",499,499,13602.783333333322,11793.03333333329,1809.7499999999984
EDDF,2019,1,MJ,25C,"(215,300]",126,126,3361.733333333334,3065.5799999999945,296.1533333333336
EDDF,2019,1,MJ,25C,"(300,360]",67,67,1707.7000000000005,1530.949999999999,176.74999999999991
EDDF,2019,1,MJ,25C,NA,34,0,0,0,0
EDDF,2019,1,MJ,25L,"(0,100]",579,579,13626.316666666662,12236.199999999946,1390.1166666666677
EDDF,2019,1,MJ,25L,"(100,140]",1666,1666,42532.033333333355,37040.73333333297,5491.299999999995
EDDF,2019,1,MJ,25L,"(140,215]",1397,1397,39168.699999999946,33528,5640.699999999995
EDDF,2019,1,MJ,25L,"(215,300]",687,687,19727.34999999998,17495.60000000011,2231.750000000002
EDDF,2019,1,MJ,25L,"(300,360]",233,233,6175.783333333333,5534.526666666672,641.2566666666659
EDDF,2019,1,MJ,25L,NA,110,0,0,0,0
EDDF,2019,1,MJ,25R,"(0,100]",2686,2686,63202.8,57077.5,6125.299999999998
EDDF,2019,1,MJ,25R,"(100,140]",306,306,7888.433333333336,6853.379999999976,1035.053333333333
EDDF,2019,1,MJ,25R,"(140,215]",155,155,4399.6833333333325,3748.4166666666742,651.2666666666664
EDDF,2019,1,MJ,25R,"(215,300]",923,923,26601.633333333295,23674.95000000025,2926.683333333331
EDDF,2019,1,MJ,25R,"(300,360]",596,596,15913.24999999999,14214.600000000142,1698.6499999999996
EDDF,2019,1,MJ,25R,NA,55,0,0,0,0
EDDF,2019,1,MT,07L,"(0,100]",8,8,281.03333333333336,279.65333333333325,1.380000000000031
EDDF,2019,1,MT,07L,"(100,140]",8,8,258.7833333333333,240.1866666666667,18.596666666666668
EDDF,2019,1,MT,07L,"(215,300]",4,4,115.31666666666668,103.74666666666668,11.57
EDDF,2019,1,MT,07R,"(0,100]",5,5,192.91666666666669,178.48333333333332,14.433333333333344
EDDF,2019,1,MT,07R,"(100,140]",22,22,739.4666666666667,678.9933333333335,60.47333333333325
EDDF,2019,1,MT,07R,"(140,215]",5,5,167.56666666666666,147.45,20.11666666666667
EDDF,2019,1,MT,07R,"(215,300]",5,5,189.11666666666665,132.71666666666664,56.40000000000001
EDDF,2019,1,MT,25C,"(100,140]",16,16,443.4500000000001,396.5866666666667,46.863333333333294
EDDF,2019,1,MT,25C,"(140,215]",4,4,114.06666666666666,104.4,9.666666666666664
EDDF,2019,1,MT,25C,"(215,300]",19,19,734.7333333333335,671.7133333333336,63.01999999999991
EDDF,2019,1,MT,25L,"(0,100]",9,9,273.9166666666667,243.14999999999992,30.76666666666668
EDDF,2019,1,MT,25L,"(100,140]",65,65,1866.9666666666672,1648.833333333331,218.13333333333333
EDDF,2019,1,MT,25L,"(140,215]",20,20,613.25,528.2000000000003,85.05
EDDF,2019,1,MT,25L,"(215,300]",2,2,76.31666666666666,63.14,13.17666666666667
EDDF,2019,1,MT,25L,NA,3,0,0,0,0
EDDF,2019,1,MT,25R,"(0,100]",31,31,937.5833333333334,850.5366666666673,87.04666666666664
EDDF,2019,1,MT,25R,"(100,140]",4,4,117.45,102.01333333333332,15.436666666666676
EDDF,2019,1,MT,25R,"(215,300]",7,7,262.23333333333335,237.0666666666667,25.166666666666657
EDDF,2019,1,MT,25R,NA,1,0,0,0,0
EDDF,2019,1,MT,NA,"(0,100]",1,0,31.783333333333335,0,0
EDDF,2019,2,H,07C,"(0,100]",2,2,50.31666666666666,51.22,-0.9033333333333324
EDDF,2019,2,H,07C,"(140,215]",1,1,22.383333333333333,23.05,-0.6666666666666679
EDDF,2019,2,H,07C,"(215,300]",2,2,42.16666666666667,38.96666666666667,3.1999999999999993
EDDF,2019,2,H,07L,"(0,100]",137,137,4086.150000000001,3710.416666666674,375.7333333333336
EDDF,2019,2,H,07L,"(100,140]",17,17,529.95,453.8433333333333,76.1066666666667
EDDF,2019,2,H,07L,"(140,215]",14,14,433.9666666666667,344.9599999999999,89.00666666666666
EDDF,2019,2,H,07L,"(215,300]",203,203,4574.799999999998,4066.766666666662,508.033333333333
EDDF,2019,2,H,07L,"(300,360]",78,78,1862.533333333333,1692.6000000000022,169.9333333333333
EDDF,2019,2,H,07L,NA,3,0,0,0,0
EDDF,2019,2,H,07R,"(0,100]",191,191,5680.500000000002,5253.136666666674,427.3633333333324
EDDF,2019,2,H,07R,"(100,140]",275,275,8049.083333333338,7383.750000000035,665.3333333333329
EDDF,2019,2,H,07R,"(140,215]",65,65,1865.2333333333336,1584.4833333333358,280.7499999999998
EDDF,2019,2,H,07R,"(215,300]",142,142,3421.583333333334,2915.7333333333304,505.8499999999996
EDDF,2019,2,H,07R,"(300,360]",56,56,1438.75,1257.2000000000012,181.55
EDDF,2019,2,H,07R,NA,4,0,0,0,0
EDDF,2019,2,H,25C,"(0,100]",138,138,3473.383333333333,2918.700000000007,554.6833333333334
EDDF,2019,2,H,25C,"(100,140]",231,231,6317.616666666665,5139.75,1177.866666666666
EDDF,2019,2,H,25C,"(140,215]",72,72,2165.116666666667,1744.8000000000009,420.3166666666666
EDDF,2019,2,H,25C,"(215,300]",127,127,3701.766666666667,3210.9833333333304,490.78333333333313
EDDF,2019,2,H,25C,"(300,360]",16,16,452.76666666666665,372.8000000000001,79.96666666666665
EDDF,2019,2,H,25C,NA,5,0,0,0,0
EDDF,2019,2,H,25L,"(0,100]",320,320,7547.65,6816.000000000037,731.6499999999997
EDDF,2019,2,H,25L,"(100,140]",468,468,11664.933333333329,10389.600000000024,1275.333333333334
EDDF,2019,2,H,25L,"(140,215]",107,107,2822.366666666667,2575.133333333328,247.23333333333372
EDDF,2019,2,H,25L,"(215,300]",288,288,8193.883333333331,7430.400000000035,763.4833333333335
EDDF,2019,2,H,25L,"(300,360]",58,58,1617.1,1411.3333333333328,205.7666666666667
EDDF,2019,2,H,25L,NA,8,0,0,0,0
EDDF,2019,2,H,25R,"(0,100]",292,292,7505.333333333331,6331.533333333349,1173.7999999999995
EDDF,2019,2,H,25R,"(100,140]",36,36,1119.2,838.1999999999998,280.9999999999999
EDDF,2019,2,H,25R,"(140,215]",14,14,463.85,365.35333333333335,98.49666666666673
EDDF,2019,2,H,25R,"(215,300]",437,437,12409.400000000003,11245.466666666718,1163.9333333333338
EDDF,2019,2,H,25R,"(300,360]",146,146,3872.4,3448.033333333336,424.3666666666662
EDDF,2019,2,H,25R,NA,4,0,0,0,0
EDDF,2019,2,HEL,25L,NA,2,0,0,0,0
EDDF,2019,2,LJ,07R,"(0,100]",6,6,187.33333333333331,173.8,13.53333333333332
EDDF,2019,2,LJ,07R,"(100,140]",5,5,160.3,140.93333333333334,19.366666666666664
EDDF,2019,2,LJ,07R,"(140,215]",2,2,64.41666666666667,53.866666666666674,10.549999999999994
EDDF,2019,2,LJ,07R,"(215,300]",3,3,79.48333333333333,66.34,13.143333333333334
EDDF,2019,2,LJ,07R,"(300,360]",1,1,33.75,24.816666666666663,8.933333333333337
EDDF,2019,2,LJ,07R,NA,1,0,0,0,0
EDDF,2019,2,LJ,25L,"(0,100]",6,6,171.11666666666667,137.7,33.416666666666664
EDDF,2019,2,LJ,25L,"(100,140]",13,13,357.4166666666667,312.6500000000001,44.76666666666664
EDDF,2019,2,LJ,25L,"(140,215]",12,12,335.8666666666666,312.04,23.82666666666662
EDDF,2019,2,LJ,25L,"(215,300]",7,7,241.2833333333333,195.2766666666667,46.006666666666646
EDDF,2019,2,LJ,25L,"(300,360]",1,1,27.416666666666668,26.083333333333332,1.3333333333333357
EDDF,2019,2,LJ,25L,NA,9,0,0,0,0
EDDF,2019,2,LP,25L,"(0,100]",2,2,77.63333333333333,73.84666666666666,3.786666666666669
EDDF,2019,2,LT,07C,NA,1,0,0,0,0
EDDF,2019,2,LT,07R,"(0,100]",1,1,36.28333333333333,31.84,4.443333333333332
EDDF,2019,2,LT,07R,"(100,140]",1,1,34.68333333333333,28.17,6.513333333333328
EDDF,2019,2,LT,07R,"(215,300]",1,1,23.95,24.32,-0.370000000000001
EDDF,2019,2,LT,25C,NA,1,0,0,0,0
EDDF,2019,2,LT,25L,"(0,100]",3,3,89.66666666666666,81.15,8.516666666666662
EDDF,2019,2,LT,25L,"(100,140]",3,3,90.01666666666667,81.4,8.616666666666667
EDDF,2019,2,LT,25L,"(140,215]",2,2,65.31666666666666,59.8,5.516666666666669
EDDF,2019,2,LT,25L,"(215,300]",4,4,135.79999999999998,131.74666666666667,4.0533333333333275
EDDF,2019,2,LT,25L,"(300,360]",1,1,30.483333333333334,31.376666666666665,-0.8933333333333309
EDDF,2019,2,LT,25L,NA,4,0,0,0,0
EDDF,2019,2,MJ,07C,"(0,100]",1,1,20.566666666666663,22.15,-1.583333333333332
EDDF,2019,2,MJ,07C,"(100,140]",1,1,22.666666666666668,24.506666666666668,-1.84
EDDF,2019,2,MJ,07C,"(140,215]",3,3,74.06666666666666,65.15,8.916666666666657
EDDF,2019,2,MJ,07C,"(215,300]",1,1,18.816666666666663,18.923333333333332,-0.10666666666666558
EDDF,2019,2,MJ,07C,"(300,360]",1,1,27.383333333333333,22.423333333333332,4.960000000000001
EDDF,2019,2,MJ,07L,"(0,100]",975,975,28161.766666666615,26065.000000000186,2096.766666666668
EDDF,2019,2,MJ,07L,"(100,140]",192,192,5492.200000000002,5088,404.2000000000001
EDDF,2019,2,MJ,07L,"(140,215]",154,154,4542.733333333335,3814.0666666666807,728.6666666666671
EDDF,2019,2,MJ,07L,"(215,300]",452,452,10373.683333333323,8957.133333333342,1416.5500000000009
EDDF,2019,2,MJ,07L,"(300,360]",187,187,4614.466666666669,4129.583333333344,484.8833333333337
EDDF,2019,2,MJ,07L,NA,52,0,0,0,0
EDDF,2019,2,MJ,07R,"(0,100]",210,210,6228.449999999998,5823.299999999975,405.14999999999975
EDDF,2019,2,MJ,07R,"(100,140]",713,713,20968.183333333323,19381.716666666536,1586.4666666666667
EDDF,2019,2,MJ,07R,"(140,215]",457,457,13905.6,11661.11666666661,2244.483333333335
EDDF,2019,2,MJ,07R,"(215,300]",242,242,5507.083333333338,4860.166666666667,646.916666666667
EDDF,2019,2,MJ,07R,"(300,360]",106,106,2662.1666666666647,2383.2333333333313,278.9333333333332
EDDF,2019,2,MJ,07R,NA,53,0,0,0,0
EDDF,2019,2,MJ,25C,"(0,100]",186,186,4203.033333333335,3769.6000000000167,433.4333333333336
EDDF,2019,2,MJ,25C,"(100,140]",809,809,20067.78333333333,17676.650000000107,2391.133333333334
EDDF,2019,2,MJ,25C,"(140,215]",724,724,19342.199999999993,17110.53333333332,2231.6666666666665
EDDF,2019,2,MJ,25C,"(215,300]",137,137,3681.866666666667,3333.2099999999937,348.65666666666687
EDDF,2019,2,MJ,25C,"(300,360]",76,76,1954.6666666666672,1736.599999999998,218.06666666666655
EDDF,2019,2,MJ,25C,NA,54,0,0,0,0
EDDF,2019,2,MJ,25L,"(0,100]",428,428,10268.566666666671,9045.066666666631,1223.5000000000014
EDDF,2019,2,MJ,25L,"(100,140]",1336,1336,33716.56666666666,29703.733333333592,4012.83333333333
EDDF,2019,2,MJ,25L,"(140,215]",1069,1069,29036.883333333328,25656,3380.8833333333355
EDDF,2019,2,MJ,25L,"(215,300]",602,602,16961.05,15330.933333333403,1630.116666666668
EDDF,2019,2,MJ,25L,"(300,360]",257,257,6829.899999999996,6104.606666666667,725.2933333333325
EDDF,2019,2,MJ,25L,NA,106,0,0,0,0
EDDF,2019,2,MJ,25R,"(0,100]",2619,2619,62471.61666666679,55653.75,6817.866666666657
EDDF,2019,2,MJ,25R,"(100,140]",282,282,7142.700000000002,6315.859999999979,826.8400000000009
EDDF,2019,2,MJ,25R,"(140,215]",152,152,4251.100000000002,3675.8666666666745,575.2333333333329
EDDF,2019,2,MJ,25R,"(215,300]",895,895,25332.000000000007,22956.75000000021,2375.2499999999995
EDDF,2019,2,MJ,25R,"(300,360]",568,568,15212.133333333337,13546.800000000132,1665.3333333333328
EDDF,2019,2,MJ,25R,NA,59,0,0,0,0
EDDF,2019,2,MT,07L,"(0,100]",4,4,145.71666666666664,139.82666666666665,5.890000000000008
EDDF,2019,2,MT,07L,"(100,140]",6,6,191.85,180.14,11.709999999999996
EDDF,2019,2,MT,07L,"(215,300]",2,2,49.36666666666667,51.873333333333335,-2.5066666666666677
EDDF,2019,2,MT,07R,"(0,100]",7,7,266.34999999999997,249.87666666666664,16.473333333333336
EDDF,2019,2,MT,07R,"(100,140]",14,14,473.36666666666673,432.0866666666667,41.27999999999996
EDDF,2019,2,MT,07R,"(140,215]",14,14,455.18333333333334,412.86000000000007,42.32333333333335
EDDF,2019,2,MT,07R,"(215,300]",7,7,240.16666666666663,185.80333333333328,54.36333333333337
EDDF,2019,2,MT,07R,NA,1,0,0,0,0
EDDF,2019,2,MT,25C,"(100,140]",22,22,595.5333333333333,545.3066666666668,50.226666666666624
EDDF,2019,2,MT,25C,"(140,215]",3,3,83.63333333333334,78.30000000000001,5.333333333333332
EDDF,2019,2,MT,25C,"(215,300]",14,14,550.4666666666667,494.9466666666669,55.51999999999992
EDDF,2019,2,MT,25C,"(300,360]",1,1,35.3,31.46333333333333,3.836666666666666
EDDF,2019,2,MT,25L,"(0,100]",9,9,249.86666666666667,243.14999999999992,6.716666666666676
EDDF,2019,2,MT,25L,"(100,140]",49,49,1381.2833333333338,1242.966666666666,138.31666666666663
EDDF,2019,2,MT,25L,"(140,215]",10,10,292.0333333333334,264.1,27.933333333333337
EDDF,2019,2,MT,25L,"(215,300]",2,2,74.78333333333333,63.14,11.64333333333333
EDDF,2019,2,MT,25L,"(300,360]",1,1,33.38333333333333,29.706666666666667,3.676666666666666
EDDF,2019,2,MT,25L,NA,1,0,0,0,0
EDDF,2019,2,MT,25R,"(0,100]",24,24,739.5833333333331,658.4800000000002,81.10333333333332
EDDF,2019,2,MT,25R,"(100,140]",7,7,211.2,178.5233333333333,32.67666666666669
EDDF,2019,2,MT,25R,"(140,215]",1,1,26.183333333333337,26.53,-0.34666666666666757
EDDF,2019,2,MT,25R,"(215,300]",11,11,399.1,372.53333333333336,26.566666666666663
EDDF,2019,3,H,07C,"(0,100]",3,3,104.11666666666667,76.83,27.28666666666666
EDDF,2019,3,H,07C,"(100,140]",7,7,234.3,174.64999999999998,59.650000000000006
EDDF,2019,3,H,07C,"(140,215]",3,3,97.96666666666668,69.15,28.816666666666663
EDDF,2019,3,H,07C,"(215,300]",4,4,121.8,77.93333333333334,43.86666666666667
EDDF,2019,3,H,07C,"(300,360]",2,2,67.51666666666667,43.28666666666666,24.23
EDDF,2019,3,H,07C,NA,1,0,0,0,0
EDDF,2019,3,H,07L,"(0,100]",113,113,3352.0166666666673,3060.41666666667,291.6000000000003
EDDF,2019,3,H,07L,"(100,140]",14,14,427.2666666666666,373.7533333333333,53.51333333333335
EDDF,2019,3,H,07L,"(140,215]",7,7,211.63333333333333,172.48000000000002,39.153333333333336
EDDF,2019,3,H,07L,"(215,300]",126,126,2780.6999999999994,2524.1999999999975,256.4999999999997
EDDF,2019,3,H,07L,"(300,360]",96,96,2317.9500000000003,2083.2000000000025,234.74999999999997
EDDF,2019,3,H,07L,NA,1,0,0,0,0
EDDF,2019,3,H,07R,"(0,100]",145,145,4285.416666666665,3987.983333333349,297.4333333333328
EDDF,2019,3,H,07R,"(100,140]",252,252,7344.283333333332,6766.200000000026,578.0833333333325
EDDF,2019,3,H,07R,"(140,215]",65,65,1844.4333333333336,1584.4833333333358,259.9499999999999
EDDF,2019,3,H,07R,"(215,300]",67,67,1590.9999999999998,1375.7333333333324,215.2666666666666
EDDF,2019,3,H,07R,"(300,360]",87,87,2183.7166666666685,1953.1500000000024,230.56666666666663
EDDF,2019,3,H,07R,NA,7,0,0,0,0
EDDF,2019,3,H,25C,"(0,100]",169,169,4548.4,3574.35000000001,974.0500000000004
EDDF,2019,3,H,25C,"(100,140]",241,241,6645.0333333333365,5362.25,1282.7833333333328
EDDF,2019,3,H,25C,"(140,215]",102,102,3316.950000000001,2471.7999999999975,845.1499999999999
EDDF,2019,3,H,25C,"(215,300]",136,136,4208.516666666667,3438.53333333333,769.9833333333326
EDDF,2019,3,H,25C,"(300,360]",50,50,1338.9000000000003,1164.9999999999989,173.8999999999999
EDDF,2019,3,H,25C,NA,3,0,0,0,0
EDDF,2019,3,H,25L,"(0,100]",467,467,11672.816666666664,9947.09999999999,1725.7166666666676
EDDF,2019,3,H,25L,"(100,140]",635,635,16645.683333333334,14097.000000000146,2548.683333333336
EDDF,2019,3,H,25L,"(140,215]",126,126,3502.250000000001,3032.3999999999937,469.8500000000007
EDDF,2019,3,H,25L,"(215,300]",372,372,10717.516666666656,9597.6,1119.9166666666658
EDDF,2019,3,H,25L,"(300,360]",138,138,3838.533333333332,3358.0000000000055,480.5333333333335
EDDF,2019,3,H,25L,NA,15,0,0,0,0
EDDF,2019,3,H,25R,"(0,100]",366,366,9788.05,7936.10000000002,1851.9499999999991
EDDF,2019,3,H,25R,"(100,140]",52,52,1582.1333333333334,1210.733333333333,371.4
EDDF,2019,3,H,25R,"(140,215]",25,25,879.1833333333333,652.416666666667,226.76666666666677
EDDF,2019,3,H,25R,"(215,300]",514,514,14551.98333333334,13226.933333333403,1325.0500000000002
EDDF,2019,3,H,25R,"(300,360]",243,243,6465.266666666665,5738.850000000014,726.416666666666
EDDF,2019,3,H,25R,NA,3,0,0,0,0
EDDF,2019,3,H,NA,"(300,360]",1,0,22.133333333333333,0,0
EDDF,2019,3,HEL,25L,NA,1,0,0,0,0
EDDF,2019,3,HEL,NA,NA,1,0,0,0,0
EDDF,2019,3,LJ,07L,NA,1,0,0,0,0
EDDF,2019,3,LJ,07R,"(0,100]",7,7,209.33333333333331,202.76666666666668,6.566666666666652
EDDF,2019,3,LJ,07R,"(100,140]",3,3,93.76666666666668,84.56,9.206666666666669
EDDF,2019,3,LJ,07R,"(140,215]",5,5,165.06666666666666,134.66666666666669,30.399999999999977
EDDF,2019,3,LJ,07R,"(215,300]",3,3,82.63333333333333,66.34,16.293333333333333
EDDF,2019,3,LJ,07R,"(300,360]",1,1,22.716666666666665,24.816666666666663,-2.099999999999998
EDDF,2019,3,LJ,07R,NA,2,0,0,0,0
EDDF,2019,3,LJ,25C,NA,1,0,0,0,0
EDDF,2019,3,LJ,25L,"(0,100]",11,11,273.33333333333337,252.44999999999993,20.883333333333336
EDDF,2019,3,LJ,25L,"(100,140]",5,5,140.35,120.25,20.09999999999999
EDDF,2019,3,LJ,25L,"(140,215]",19,19,610.9333333333334,494.06333333333333,116.86999999999988
EDDF,2019,3,LJ,25L,"(215,300]",8,8,265.9333333333334,223.17333333333335,42.759999999999984
EDDF,2019,3,LJ,25L,"(300,360]",2,2,56.83333333333333,52.166666666666664,4.666666666666668
EDDF,2019,3,LJ,25L,NA,14,0,0,0,0
EDDF,2019,3,LT,07C,NA,2,0,0,0,0
EDDF,2019,3,LT,07R,"(0,100]",1,1,29.583333333333332,31.84,-2.2566666666666677
EDDF,2019,3,LT,07R,NA,2,0,0,0,0
EDDF,2019,3,LT,25C,NA,2,0,0,0,0
EDDF,2019,3,LT,25L,"(0,100]",5,5,150.68333333333334,135.25,15.433333333333334
EDDF,2019,3,LT,25L,"(100,140]",1,1,31.983333333333334,27.133333333333333,4.850000000000001
EDDF,2019,3,LT,25L,"(140,215]",2,2,58.68333333333334,59.8,-1.11666666666666
EDDF,2019,3,LT,25L,"(215,300]",2,2,84.41666666666666,65.87333333333333,18.54333333333333
EDDF,2019,3,LT,25L,NA,2,0,0,0,0
EDDF,2019,3,MJ,07C,"(0,100]",3,3,94.01666666666668,66.44999999999999,27.56666666666667
EDDF,2019,3,MJ,07C,"(100,140]",1,1,37.43333333333333,24.506666666666668,12.926666666666662
EDDF,2019,3,MJ,07C,"(140,215]",7,7,201.16666666666663,152.01666666666668,49.149999999999984
EDDF,2019,3,MJ,07C,"(215,300]",4,4,82.01666666666668,75.69333333333333,6.323333333333341
EDDF,2019,3,MJ,07C,"(300,360]",1,1,22.416666666666668,22.423333333333332,-0.00666666666666415
EDDF,2019,3,MJ,07C,NA,2,0,0,0,0
EDDF,2019,3,MJ,07L,"(0,100]",828,828,23621.98333333337,22135.200000000143,1486.7833333333351
EDDF,2019,3,MJ,07L,"(100,140]",179,179,5005.916666666668,4743.5,262.4166666666667
EDDF,2019,3,MJ,07L,"(140,215]",201,201,5518.083333333329,4978.100000000008,539.9833333333338
EDDF,2019,3,MJ,07L,"(215,300]",339,339,7487.433333333333,6717.849999999981,769.5833333333344
EDDF,2019,3,MJ,07L,"(300,360]",185,185,4488.200000000002,4085.416666666678,402.78333333333353
