ICAO,YEAR,MOF,AC_CLASS,AP_C_RWY,C100_SECT,N,N_VALID,TOT_A100,TOT_REF,TOT_ADD
EDDF,2019,1,H,07C,"(0,100]",1,1,30.516666666666666,25.61,4.906666666666666
EDDF,2019,1,H,07C,"(215,300]",4,4,84.95,77.93333333333334,7.016666666666662
EDDF,2019,1,H,07C,"(300,360]",1,1,21.216666666666665,21.64333333333333,-0.42666666666666586
EDDF,2019,1,H,07L,"(0,100]",111,111,3302.1,3006.250000000003,295.8500000000002
EDDF,2019,1,H,07L,"(100,140]",21,21,633.0666666666667,560.63,72.4366666666667
EDDF,2019,1,H,07L,"(140,215]",6,6,186.5666666666667,147.84,38.72666666666666
EDDF,2019,1,H,07L,"(215,300]",169,169,3862.316666666665,3385.6333333333296,476.6833333333331
EDDF,2019,1,H,07L,"(300,360]",66,66,1653.533333333333,1432.2000000000016,221.3333333333334
EDDF,2019,1,H,07L,NA,1,0,0,0,0
EDDF,2019,1,H,07R,"(0,100]",173,173,5180.4000000000015,4758.076666666678,422.32333333333287
EDDF,2019,1,H,07R,"(100,140]",228,228,6679.5499999999965,6121.8000000000175,557.7499999999999
EDDF,2019,1,H,07R,"(140,215]",78,78,2209.3833333333337,1901.380000000004,308.0033333333331
EDDF,2019,1,H,07R,"(215,300]",107,107,2597.999999999998,2197.066666666665,400.93333333333305
EDDF,2019,1,H,07R,"(300,360]",55,55,1461.9666666666667,1234.7500000000011,227.21666666666667
EDDF,2019,1,H,07R,NA,6,0,0,0,0
EDDF,2019,1,H,25C,"(0,100]",177,177,4550.383333333333,3743.55000000001,806.8333333333337
EDDF,2019,1,H,25C,"(100,140]",195,195,5355.7999999999975,4338.75,1017.0500000000008
EDDF,2019,1,H,25C,"(140,215]",69,69,2049.25,1672.1000000000008,377.14999999999986
EDDF,2019,1,H,25C,"(215,300]",75,75,2245.4500000000007,1896.2499999999984,349.1999999999999
EDDF,2019,1,H,25C,"(300,360]",50,50,1307.3999999999996,1164.9999999999989,142.39999999999998
EDDF,2019,1,H,25C,NA,4,0,0,0,0
EDDF,2019,1,H,25L,"(0,100]",470,470,10973.316666666682,10010.999999999987,962.3166666666668
EDDF,2019,1,H,25L,"(100,140]",532,532,13501.099999999991,11810.40000000007,1690.6999999999996
