AIRPORT,DATE,FLTS,RWY,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD
EDDF,2022-01,26,07C,751.85,669.9405555555555,81.90944444444443,3.1503632478632473
EDDF,2022-01,41,07C,1188.3,1036.680729166668,151.61927083333316,3.698030995934955
EDDF,2022-01,31,07L,891.1666666666667,814.0291469194319,77.13751974723539,2.4883070886204965
EDDF,2022-01,147,07L,4132.1,3780.326933423006,351.7730665770007,2.3930140583469437
EDDF,2022-01,53,07R,1524.9999999999998,1408.1860902255628,116.81390977443604,2.204036033479925
EDDF,2022-01,1,07R,33.28333333333333,26.14509803921569,7.138235294117642,7.138235294117642
EDDF,2022-01,53,07R,1523.6833333333334,1411.555104712041,112.1282286212915,2.1156269551187075
EDDF,2022-01,117,25C,2837.2,2367.7874999999995,469.4125,4.01207264957265
EDDF,2022-01,433,25C,9760.66666666666,8456.439133627056,1304.2275330396471,3.0120728245719333
EDDF,2022-01,670,25L,15335.73333333335,13758.894774011074,1576.8385593220312,2.353490387047808
EDDF,2022-01,10,25L,239.78333333333333,208.64864864864867,31.134684684684704,3.1134684684684704
EDDF,2022-01,3,25L,79.15,75.98181818181818,3.1681818181818144,1.0560606060606048
EDDF,2022-01,647,25L,15159.36666666666,13163.977067082598,1995.389599583978,3.084064296111249
EDDF,2022-01,213,25R,5041.3,4472.636547619046,568.6634523809524,2.6697814665772417
EDDF,2022-01,1172,25R,27500.46666666666,23982.025704808773,3518.440961857385,3.002082731960226
EDDF,2022-01,23,07C,668.0833333333334,546.6681818181817,121.41515151515148,5.278919631093543
EDDF,2022-01,52,07C,1545.8166666666664,1261.5288135593214,284.28785310734463,5.467074098218166
EDDF,2022-01,5,07L,145.56666666666666,130.04861111111111,15.518055555555552,3.1036111111111104
EDDF,2022-01,37,07L,1061.0333333333335,942.7184661525284,118.31486718080548,3.197699112994743
EDDF,2022-01,1,07L,29.316666666666663,29.117857142857144,0.19880952380952263,0.19880952380952263
EDDF,2022-01,35,07R,997.7833333333332,904.6191328560068,93.16420047732694,2.6618342993521984
EDDF,2022-01,3,07R,100.58333333333334,78.72,21.863333333333333,7.2877777777777775
EDDF,2022-01,81,07R,2298.766666666667,2114.248989048023,184.51767761864653,2.2779960199832905
EDDF,2022-01,3,07R,103.56666666666666,90.25,13.316666666666666,4.438888888888889
EDDF,2022-01,194,25C,4935.399999999997,4131.846354166678,803.5536458333337,4.142029102233678
EDDF,2022-01,617,25C,15165.76666666667,12930.13845518384,2235.6282114828564,3.623384459453576
EDDF,2022-01,8,25C,217.05,191.90000000000003,25.149999999999995,3.1437499999999994
EDDF,2022-01,370,25L,9358.4,7916.053095238034,1442.3469047619058,3.89823487773488
EDDF,2022-01,14,25L,379.81666666666666,310.6342105263157,69.18245614035088,4.9416040100250624
EDDF,2022-01,1014,25L,25304.45000000002,21615.483734939546,3688.9662650602454,3.638033791972629
EDDF,2022-01,25,25L,719.8999999999999,611.2955729166666,108.60442708333328,4.3441770833333315
EDDF,2022-01,36,25R,972.5499999999998,804.4448275862075,168.10517241379307,4.669588122605363
EDDF,2022-01,245,25R,6448.0166666666655,5279.6854413702285,1168.3312252964436,4.768698878760994
EDDF,2022-01,16,25R,426.95,396.0666666666666,30.883333333333383,1.9302083333333369
EDDF,2022-01,7,07C,194.46666666666667,152.7685185185185,41.69814814814816,5.956878306878309
EDDF,2022-01,54,07C,1432.4499999999998,1145.607692307694,286.8423076923076,5.311894586894585
EDDF,2022-01,2,07L,47.7,47.537254901960786,0.16274509803921333,0.08137254901960667
EDDF,2022-01,52,07L,1393.066666666667,1218.1266862170085,174.9399804496579,3.364230393262652
EDDF,2022-01,11,07R,325.1166666666667,254.17202380952375,70.94464285714288,6.449512987012989
EDDF,2022-01,1,07R,29.716666666666665,24.15714285714286,5.559523809523807,5.559523809523807
EDDF,2022-01,74,07R,1994.3833333333337,1779.7982006297784,214.58513270355385,2.8997990905885658
EDDF,2022-01,91,25C,2708.183333333334,2103.5936868686895,604.5896464646468,6.643842268842272
EDDF,2022-01,479,25C,13142.449999999995,10841.16398683595,2301.286013164083,4.804354933536708
EDDF,2022-01,67,25L,1827.266666666667,1555.497076023393,271.76959064327497,4.056262546914552
EDDF,2022-01,15,25L,431.0333333333333,357.801282051282,73.23205128205126,4.88213675213675
EDDF,2022-01,5,25L,166.4,134.94444444444446,31.45555555555555,6.2911111111111095
EDDF,2022-01,845,25L,23196.633333333328,19467.90086862065,3728.732464712269,4.412701141671325
EDDF,2022-01,1,25L,33.916666666666664,25.81547619047619,8.1011904761904745,8.1011904761904745
EDDF,2022-01,13,25R,389.4833333333333,322.16622807017535,67.3171052631579,5.178238866396762
EDDF,2022-01,222,25R,6426.316666666664,5169.84907063196,1256.4675960346965,5.6597639461022355
EDDF,2022-01,19,07C,403.4500000000001,367.19659090909073,36.253409090909194,1.9080741626794313
EDDF,2022-01,41,07C,872.7499999999999,779.4718253968247,93.27817460317458,2.275077429345721
EDDF,2022-01,39,07L,864.7333333333335,756.2223591549297,108.51097417840374,2.7823326712411216
EDDF,2022-01,84,07L,1862.2999999999995,1596.0247787610638,266.27522123893806,3.169943109987358
EDDF,2022-01,31,07R,687.6833333333334,611.907821637427,75.77551169590643,2.4443713450292397
EDDF,2022-01,60,07R,1330.1,1164.4274406332447,165.67255936675463,2.761209322779244
EDDF,2022-01,1,07R,26.85,24.274166666666662,2.575833333333339,2.575833333333339
EDDF,2022-01,138,25C,3940.4166666666665,3350.68671875001,589.7299479166671,4.273405419685994
