AIRPORT,DATE,FLTS,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD
SBGR,2021-03,4043,99379.33333333346,88870.10999999919,10509.223333334274,2.5993626844754574
SBGR,2021-04,4037,99136.71666666689,88740.1399999999,10396.576666666995,2.5753224341508534
SBGR,2021-05,5944,149603.74999999985,130932.02875000022,18671.72124999964,3.141272081090114
SBGR,2021-06,6191,160728.1000000001,136255.97541666753,24472.124583332567,3.9528548834328165
SBGR,2021-07,8008,210145.25000000017,176012.38291666473,34132.86708333544,4.262346039377553
SBGR,2021-08,7849,204870.88333333292,172802.1187499971,32068.76458333581,4.085713413598651
SBGR,2021-09,8327,216866.80000000028,183137.85291666415,33728.94708333613,4.050552069573211
SBGR,2021-10,8234,215427.3000000001,181082.85666666372,34344.443333336385,4.1710521415273725
SBGR,2021-11,9741,263960.51666666736,214251.35999999725,49709.15666667011,5.103085583273803
SBGR,2021-12,9847,265007.43333333335,216366.56791666007,48640.865416673274,4.939663391558168
SBGR,2022-01,6800,177268.93333333294,149280.20333333345,27988.729999999487,4.115989705882278
SBGR,2022-02,1917,49183.616666666574,42108.92583333327,7074.690833333305,3.690501217179606
SBGR,2022-04,3395,84402.68333333328,74412.42041666587,9990.262916667401,2.9426400343644774
SBGR,2022-05,9031,230158.1833333326,198186.0312499955,31972.152083337103,3.5402670892854724
SBGR,2022-06,8016,208162.16666666642,175549.86791666492,32612.2987500015,4.0684005426648575
SBGR,2022-07,10733,282235.68333333434,234755.67458332737,47480.008750006964,4.423740682941113
SBGR,2022-08,10503,279714.74999999965,229884.57833332958,49830.17166667007,4.744375099178336
SBGR,2022-09,10081,270691.96666666714,220793.8304166641,49898.13625000304,4.94972088582512
SBGR,2022-10,10899,290440.266666666,238870.24083333064,51570.025833335385,4.731629124996365
SBGR,2022-11,9000,240427.36666666585,197039.52583333058,43387.84083333527,4.820871203703919
SBGR,2022-12,10979,292241.65,240255.5770833266,51986.07291667341,4.7350462625624745
SBSP,2021-03,2155,54954.71666666686,49731.98124999895,5222.735416667914,2.423543116783255
SBSP,2021-04,2155,54690.716666666674,49245.79916666546,5444.917500001211,2.5266438515086826
SBSP,2021-05,3290,87240.14999999989,76941.12333333348,10299.02666666641,3.130403242147845
SBSP,2021-06,3499,93958.01666666697,80756.45916666636,13201.557500000607,3.7729515575880557
SBSP,2021-07,4616,126761.35000000012,107158.70708333678,19602.642916663346,4.2466730755336535
SBSP,2021-08,4760,129540.56666666677,109914.6429166703,19625.923749996466,4.123093224789174
SBSP,2021-09,5375,145776.04999999993,123085.21958333899,22690.830416660945,4.221549844960176
SBSP,2021-10,5275,146641.9166666666,120205.52416667197,26436.392499994632,5.011638388624575
SBSP,2021-11,6172,170078.13333333287,141002.77500000494,29075.358333327924,4.710848725425781
SBSP,2021-12,6568,182922.36666666612,150268.0516666718,32654.314999994327,4.971728836783545
SBSP,2022-01,4563,125439.84999999987,104858.45750000293,20581.392499996946,4.5104958360720895
