APT,PHASE,MOF,MVTS,ADD_TIME,AVG_ADD_TIME
SBBR,ARR,2019-01,5285,14482.960000000001,2.7403897824030277
SBBR,ARR,2019-02,4708,13951.219999999996,2.9633007646559038
SBBR,ARR,2019-03,5119,14977.099999999997,2.9257862863840587
SBBR,ARR,2019-04,4803,10493.28,2.18473454091193
SBBR,ARR,2019-05,4807,7771.909999999998,1.616790097774079
SBBR,ARR,2019-06,4426,5904.250000000002,1.3339923181201991
SBBR,ARR,2019-07,2671,3588.6000000000004,1.3435417446649196
SBBR,ARR,2019-08,4775,14610.389999999996,3.059767539267015
SBBR,ARR,2019-09,4848,7127.430000000001,1.4701794554455447
SBBR,ARR,2019-10,5116,18600.690000000002,3.6357877247849886
SBBR,ARR,2019-11,5125,10064.42,1.963789268292683
SBBR,ARR,2019-12,5192,17237.420000000002,3.319996147919877
SBBR,ARR,2020-01,5314,25674.789999999997,4.831537448249906
SBBR,ARR,2020-02,4669,8887.86,1.9035896337545515
SBBR,ARR,2020-03,3676,7304.700000000001,1.9871327529923832
SBBR,ARR,2020-04,512,570.48,1.11421875
SBBR,ARR,2020-05,290,487.7999999999999,1.682068965517241
SBBR,ARR,2020-06,486,449.45000000000005,0.9247942386831277
SBBR,ARR,2020-07,1099,1162.01,1.057333939945405
SBBR,ARR,2020-08,1622,2030.99,1.2521516646115907
SBBR,ARR,2020-09,2451,3748.4500000000003,1.5293553651570788
SBBR,ARR,2020-10,3103,5204.260000000001,1.6771704801804708
SBBR,ARR,2020-11,3103,5705.929999999999,1.8388430551079598
SBBR,ARR,2020-12,3719,6824.6900000000005,1.835087389083087
SBBR,ARR,2021-01,3666,6287.96,1.7152100381887616
SBBR,ARR,2021-02,2796,5011.27,1.7922997138769672
SBBR,ARR,2021-03,2399,3286.96,1.370137557315548
SBBR,ARR,2021-04,1679,2074.0899999999997,1.235312686122692
SBBR,ARR,2021-05,2318,2922.1199999999994,1.2606212251941327
SBBR,ARR,2021-06,2666,3730.3099999999995,1.3992160540135032
SBBR,ARR,2021-07,3481,4894.280000000001,1.4059982763573688
SBBR,ARR,2021-08,3522,5520.3899999999985,1.567402044293015
SBBR,ARR,2021-09,3912,6380.98,1.6311298568507155
SBBR,ARR,2021-10,4031,7712.04,1.9131828330439098
SBBR,ARR,2021-11,4181,7594.730000000001,1.816486486486487
SBBR,ARR,2021-12,4680,8984.09,1.9196773504273505
SBBR,ARR,2022-01,4528,7711.010000000001,1.7029615724381628
SBBR,ARR,2022-02,3520,6385.1500000000005,1.8139630681818184
SBBR,ARR,2022-03,3859,6289.120000000002,1.6297279087846597
SBBR,ARR,2022-04,3607,5857.32,1.6238757970612696
SBBR,ARR,2022-05,3921,6512.79,1.6610022953328232
SBBR,ARR,2022-06,3711,5804.209999999998,1.5640555106440308
SBBR,ARR,2022-07,4476,8651.630000000001,1.9328932082216266
SBBR,ARR,2022-08,4422,7824.680000000001,1.769488919041158
SBBR,ARR,2022-09,4303,7770.360000000002,1.8058006042296078
SBBR,ARR,2022-10,4453,8143.57,1.8287828430271726
SBBR,ARR,2022-11,4604,10130.210000000001,2.200306255430061
SBBR,ARR,2022-12,4798,11061.680000000002,2.3054772822009175
SBCF,ARR,2019-01,4248,6619.44,1.5582485875706213
